GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "00000","United States", ,SAGDP1,1,"...","Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",19612102.0,20193896.0,20692087.0,20234074.0,21407692.0,21822037.0
 "00000","United States", ,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",100.000,102.967,105.507,103.171,109.156,111.268
 "00000","United States", ,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",19612102.0,20656516.0,21521395.0,21322950.0,23594031.0,25744108.0
 "00000","United States", ,SAGDP1,4,"...","Compensation (millions of dollars) ","Millions of current dollars",10434978.0,10967687.0,11459776.0,11602288.0,12556629.0,13455238.0
 "00000","United States", ,SAGDP1,5,"...","Gross operating surplus (millions of dollars) ","Millions of current dollars",7873027.0,8295055.0,8601459.0,8857004.0,9848221.0,10606096.0
 "00000","United States", ,SAGDP1,6,"...","Taxes on production and imports (TOPI) less subsides (millions of dollars) ","Millions of current dollars",1304097.0,1393774.0,1460160.0,863658.0,1189181.0,1682774.0
 "00000","United States", ,SAGDP1,7,"..."," Taxes on production and imports (TOPI) (millions of dollars) ","Millions of current dollars",1363972.0,1457093.0,1533117.0,1520513.0,1671921.0,1810222.0
 "00000","United States", ,SAGDP1,8,"..."," Subsidies (millions of dollars) ","Millions of current dollars",-59875.0,-63320.0,-72957.0,-656856.0,-482741.0,-127449.0
 "01000","Alabama",5,SAGDP1,1,"...","Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",216615.5,220808.8,224944.6,222081.4,231892.6,235807.3
 "01000","Alabama",5,SAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",100.000,101.936,103.845,102.523,107.053,108.860
 "01000","Alabama",5,SAGDP1,3,"...","Current-dollar GDP (millions of current dollars) ","Millions of current dollars",216615.5,226263.8,234526.4,235118.3,257986.5,281569.0
