GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "06000","California",8,SAGDP2N,1,"...","All industry total ","Millions of current dollars",2740550.3,2899530.9,3062158.9,3068809.4,3416939.4,3641643.4
 "06000","California",8,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",2415987.8,2561404.4,2714527.5,2712318.2,3047121.5,3260251.3
 "06000","California",8,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",39257.5,39165.6,37304.6,38300.6,42720.0,45330.6
 "06000","California",8,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",27139.1,26245.6,23593.4,23591.2,27526.6,29169.4
 "06000","California",8,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",12118.4,12920.0,13711.2,14709.3,15193.4,16161.1
 "06000","California",8,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",9837.3,9469.8,8217.0,7077.2,9708.5,11610.4
 "06000","California",8,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",6376.1,5364.4,4271.8,3029.3,5240.1,7058.5
 "06000","California",8,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",1877.9,2250.8,2093.3,2715.6,3203.8,3094.0
 "06000","California",8,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",1583.3,1854.7,1851.9,1332.2,1264.6,1457.8
 "06000","California",8,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",38232.7,39673.2,40239.7,42193.9,43689.6,52323.9
 "06000","California",8,SAGDP2N,11,"23","  Construction ","Millions of current dollars",110699.1,119459.0,128774.9,125193.9,131778.1,140528.1
 "06000","California",8,SAGDP2N,12,"31-33","  Manufacturing ","Millions of current dollars",294636.7,325580.2,335177.2,325036.0,368835.4,397046.7
 "06000","California",8,SAGDP2N,13,"321,327-339","   Durable goods manufacturing ","Millions of current dollars",176065.9,186593.8,192566.6,201746.2,222215.6,235402.8
 "06000","California",8,SAGDP2N,14,"321","    Wood product manufacturing ","Millions of current dollars",2229.7,2312.1,2374.9,2585.5,3888.0,4013.8
 "06000","California",8,SAGDP2N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of current dollars",4523.5,4734.0,5258.6,5146.6,5367.4,5723.7
 "06000","California",8,SAGDP2N,16,"331","    Primary metal manufacturing ","Millions of current dollars",2127.4,2388.5,2532.7,2009.5,2899.3,3332.8
 "06000","California",8,SAGDP2N,17,"332","    Fabricated metal product manufacturing ","Millions of current dollars",13298.3,13826.0,14035.6,13306.3,12398.6,14349.4
 "06000","California",8,SAGDP2N,18,"333","    Machinery manufacturing ","Millions of current dollars",12469.8,12465.3,13280.3,13483.5,14916.7,16127.5
 "06000","California",8,SAGDP2N,19,"334","    Computer and electronic product manufacturing ","Millions of current dollars",96512.2,101536.5,106649.1,117822.3,132901.4,136669.7
 "06000","California",8,SAGDP2N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of current dollars",4178.2,4964.3,5083.3,4524.9,4243.6,4768.2
 "06000","California",8,SAGDP2N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Millions of current dollars",6673.0,7145.0,7411.0,8060.8,8905.7,9824.6
 "06000","California",8,SAGDP2N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Millions of current dollars",17719.8,20086.0,18465.0,17481.3,17638.9,20427.4
 "06000","California",8,SAGDP2N,23,"337","    Furniture and related product manufacturing ","Millions of current dollars",2812.9,2774.8,3025.7,2614.8,2671.6,2899.0
 "06000","California",8,SAGDP2N,24,"339","    Miscellaneous manufacturing ","Millions of current dollars",13521.1,14361.4,14450.4,14710.7,16384.4,17266.8
 "06000","California",8,SAGDP2N,25,"311-316,322-326","   Nondurable goods manufacturing ","Millions of current dollars",118570.8,138986.4,142610.7,123289.7,146619.8,161643.9
 "06000","California",8,SAGDP2N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Millions of current dollars",29582.1,28031.7,27881.5,28481.3,30880.6,31363.6
 "06000","California",8,SAGDP2N,27,"313-314","    Textile mills and textile product mills ","Millions of current dollars",1034.7,1074.7,1105.4,1116.7,1152.1,1255.8
 "06000","California",8,SAGDP2N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Millions of current dollars",3134.5,3070.4,3330.8,3432.8,3778.7,3683.8
 "06000","California",8,SAGDP2N,29,"322","    Paper manufacturing ","Millions of current dollars",2961.6,2973.0,3031.9,3306.7,3175.4,3383.0
 "06000","California",8,SAGDP2N,30,"323","    Printing and related support activities ","Millions of current dollars",3536.7,3650.5,3675.8,3176.6,3309.4,3547.5
 "06000","California",8,SAGDP2N,31,"324","    Petroleum and coal products manufacturing ","Millions of current dollars",15057.6,27866.7,27587.0,6168.2,23192.6,33649.1
 "06000","California",8,SAGDP2N,32,"325","    Chemical manufacturing ","Millions of current dollars",58791.1,67491.4,70915.5,72485.4,76171.6,79015.0
 "06000","California",8,SAGDP2N,33,"326","    Plastics and rubber products manufacturing ","Millions of current dollars",4472.5,4828.0,5082.8,5122.0,4959.3,5746.1
