GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "93000","Great Lakes",3,SAGDP2N,1,"...","All industry total ","Millions of current dollars",2669538.3,2781326.3,2868748.2,2804784.6,3072106.1,3340752.8
 "93000","Great Lakes",3,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",2395598.3,2499649.7,2578833.8,2509501.3,2766417.3,3022381.9
 "93000","Great Lakes",3,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",21400.6,22533.2,18140.7,22077.6,35470.4,46534.2
 "93000","Great Lakes",3,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",18635.9,19776.7,15256.1,19035.8,32266.9,43092.2
 "93000","Great Lakes",3,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",2764.7,2756.6,2884.6,3041.8,3203.5,3442.0
 "93000","Great Lakes",3,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",9618.4,10390.3,9745.1,8409.8,11058.6,13726.6
 "93000","Great Lakes",3,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",2843.6,3047.7,3097.7,2694.9,4572.6,5517.1
 "93000","Great Lakes",3,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",5578.1,5899.2,5334.2,4898.0,5625.1,7200.1
 "93000","Great Lakes",3,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",1196.6,1443.3,1313.2,816.9,860.9,1009.4
 "93000","Great Lakes",3,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",46254.9,46720.8,48086.8,49462.1,54907.6,60603.7
 "93000","Great Lakes",3,SAGDP2N,11,"23","  Construction ","Millions of current dollars",103518.6,106548.1,112185.9,112035.8,119926.7,128439.2
 "93000","Great Lakes",3,SAGDP2N,12,"31-33","  Manufacturing ","Millions of current dollars",444525.5,468351.5,466181.9,435337.9,484044.3,541444.1
 "93000","Great Lakes",3,SAGDP2N,13,"321,327-339","   Durable goods manufacturing ","Millions of current dollars",267229.3,273793.9,276257.1,251190.9,268798.7,299777.0
 "93000","Great Lakes",3,SAGDP2N,14,"321","    Wood product manufacturing ","Millions of current dollars",4856.4,4895.6,5374.6,5500.1,7297.1,7490.9
 "93000","Great Lakes",3,SAGDP2N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of current dollars",10837.4,11269.2,12095.8,12176.9,12770.0,13465.1
 "93000","Great Lakes",3,SAGDP2N,16,"331","    Primary metal manufacturing ","Millions of current dollars",20194.8,23296.3,21847.5,17496.2,26274.1,33235.4
 "93000","Great Lakes",3,SAGDP2N,17,"332","    Fabricated metal product manufacturing ","Millions of current dollars",42291.9,43193.3,44821.1,40453.6,43029.1,45277.1
 "93000","Great Lakes",3,SAGDP2N,18,"333","    Machinery manufacturing ","Millions of current dollars",43191.3,45040.8,46025.3,41927.5,43687.3,52755.2
 "93000","Great Lakes",3,SAGDP2N,19,"334","    Computer and electronic product manufacturing ","Millions of current dollars",14739.6,15688.3,15919.2,14435.1,14786.6,15192.7
