GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "16000","Idaho",7,SAGDP2N,1,"...","All industry total ","Millions of current dollars",72935.1,79072.4,84550.2,88187.7,98792.8,110871.1
 "16000","Idaho",7,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",63172.7,68909.6,73835.5,77075.2,87123.6,98585.1
 "16000","Idaho",7,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",3232.1,3618.1,3737.9,3641.2,3950.1,5906.4
 "16000","Idaho",7,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",2682.7,2992.2,3119.1,2971.0,3258.4,5152.0
 "16000","Idaho",7,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",549.4,625.9,618.7,670.3,691.7,754.5
 "16000","Idaho",7,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",504.2,499.9,419.5,678.8,1001.3,849.6
 "16000","Idaho",7,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",15.3,9.4,3.3,2.5,4.9,7.7
 "16000","Idaho",7,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",469.9,458.6,391.0,653.4,964.7,802.6
 "16000","Idaho",7,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",19.0,31.8,25.2,22.9,31.7,39.3
 "16000","Idaho",7,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",1403.5,1375.5,1410.9,1528.2,1564.4,1777.4
 "16000","Idaho",7,SAGDP2N,11,"23","  Construction ","Millions of current dollars",3842.9,4074.6,4656.7,5149.3,6079.8,6942.3
 "16000","Idaho",7,SAGDP2N,12,"31-33","  Manufacturing ","Millions of current dollars",7936.1,8842.3,9003.7,9359.8,9570.5,10726.7
 "16000","Idaho",7,SAGDP2N,13,"321,327-339","   Durable goods manufacturing ","Millions of current dollars",4798.5,5400.6,5380.3,5237.5,5368.1,6236.4
 "16000","Idaho",7,SAGDP2N,14,"321","    Wood product manufacturing ","Millions of current dollars",659.7,684.9,714.2,878.9,1045.9,1188.4
 "16000","Idaho",7,SAGDP2N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of current dollars",138.4,178.8,157.7,186.4,213.9,236.1
 "16000","Idaho",7,SAGDP2N,16,"331","    Primary metal manufacturing ","Millions of current dollars",146.1,151.2,158.0,158.6,159.2,165.6
 "16000","Idaho",7,SAGDP2N,17,"332","    Fabricated metal product manufacturing ","Millions of current dollars",477.4,460.5,642.0,685.3,670.1,793.7
 "16000","Idaho",7,SAGDP2N,18,"333","    Machinery manufacturing ","Millions of current dollars",260.4,296.3,287.6,306.7,336.6,444.8
 "16000","Idaho",7,SAGDP2N,19,"334","    Computer and electronic product manufacturing ","Millions of current dollars",2508.4,2986.4,2770.3,2330.1,2203.7,2543.9
 "16000","Idaho",7,SAGDP2N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of current dollars",128.2,135.8,125.8,131.1,139.6,176.0
 "16000","Idaho",7,SAGDP2N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Millions of current dollars",166.5,176.9,178.8,199.8,210.5,234.6
 "16000","Idaho",7,SAGDP2N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Millions of current dollars",107.6,108.7,112.1,93.7,94.5,124.9
 "16000","Idaho",7,SAGDP2N,23,"337","    Furniture and related product manufacturing ","Millions of current dollars",83.1,104.3,106.1,117.5,119.9,132.5
 "16000","Idaho",7,SAGDP2N,24,"339","    Miscellaneous manufacturing ","Millions of current dollars",122.6,116.8,127.6,149.4,174.3,195.8
 "16000","Idaho",7,SAGDP2N,25,"311-316,322-326","   Nondurable goods manufacturing ","Millions of current dollars",3137.6,3441.7,3623.4,4122.3,4202.4,4490.4
 "16000","Idaho",7,SAGDP2N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Millions of current dollars",2095.6,2326.4,2547.9,3021.0,2959.2,3033.4
 "16000","Idaho",7,SAGDP2N,27,"313-314","    Textile mills and textile product mills ","Millions of current dollars",20.9,19.6,18.0,18.0,22.5,24.9
 "16000","Idaho",7,SAGDP2N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Millions of current dollars",17.2,15.5,16.1,19.9,27.1,26.3
 "16000","Idaho",7,SAGDP2N,29,"322","    Paper manufacturing ","Millions of current dollars",252.8,266.2,278.6,306.7,324.4,409.3
 "16000","Idaho",7,SAGDP2N,30,"323","    Printing and related support activities ","Millions of current dollars",129.0,121.8,110.5,96.0,99.0,133.1
 "16000","Idaho",7,SAGDP2N,31,"324","    Petroleum and coal products manufacturing ","Millions of current dollars",17.3,16.9,19.9,6.7,11.3,16.2
 "16000","Idaho",7,SAGDP2N,32,"325","    Chemical manufacturing ","Millions of current dollars",405.6,482.7,380.3,385.8,483.4,566.6
 "16000","Idaho",7,SAGDP2N,33,"326","    Plastics and rubber products manufacturing ","Millions of current dollars",199.1,192.7,252.1,268.2,275.6,280.7
 "16000","Idaho",7,SAGDP2N,34,"42","  Wholesale trade ","Millions of current dollars",4782.0,5145.3,5629.0,5907.8,7294.0,7980.2
 "16000","Idaho",7,SAGDP2N,35,"44-45","  Retail trade ","Millions of current dollars",6135.6,6788.5,7472.1,7894.5,8954.9,9408.4
 "16000","Idaho",7,SAGDP2N,36,"48-49","  Transportation and warehousing ","Millions of current dollars",2283.5,2466.1,2546.5,2481.4,3180.4,3685.3
 "16000","Idaho",7,SAGDP2N,37,"481","   Air transportation ","Millions of current dollars",233.7,270.9,258.1,89.6,202.1,338.7
 "16000","Idaho",7,SAGDP2N,38,"482","   Rail transportation ","Millions of current dollars",380.2,396.0,384.2,365.7,401.0,460.7
 "16000","Idaho",7,SAGDP2N,39,"483","   Water transportation ","Millions of current dollars",7.7,10.9,11.1,8.7,5.0,6.3
 "16000","Idaho",7,SAGDP2N,40,"484","   Truck transportation ","Millions of current dollars",1112.1,1171.7,1209.2,1237.0,1436.7,1631.6
 "16000","Idaho",7,SAGDP2N,41,"485","   Transit and ground passenger transportation ","Millions of current dollars",77.6,82.2,90.8,68.0,93.7,121.9
 "16000","Idaho",7,SAGDP2N,42,"486","   Pipeline transportation ","Millions of current dollars",15.7,22.8,14.0,13.4,13.7,13.9
 "16000","Idaho",7,SAGDP2N,43,"487-488,492","   Other transportation and support activities ","Millions of current dollars",350.7,385.4,444.7,563.6,886.1,963.5
 "16000","Idaho",7,SAGDP2N,44,"493","   Warehousing and storage ","Millions of current dollars",105.8,126.3,134.3,135.5,142.2,148.7
 "16000","Idaho",7,SAGDP2N,45,"51","  Information ","Millions of current dollars",1552.4,1529.2,1771.7,1623.5,2050.0,2309.9
 "16000","Idaho",7,SAGDP2N,46,"511","   Publishing industries (except Internet) ","Millions of current dollars",288.9,278.6,312.8,349.9,489.9,501.4
 "16000","Idaho",7,SAGDP2N,47,"512","   Motion picture and sound recording industries ","Millions of current dollars",42.0,45.9,50.1,45.1,61.1,81.9
 "16000","Idaho",7,SAGDP2N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Millions of current dollars",868.8,872.6,972.7,780.3,903.3,930.2
 "16000","Idaho",7,SAGDP2N,49,"518-519","   Data processing, hosting, and other information services ","Millions of current dollars",352.8,332.2,436.1,448.2,595.7,796.3
 "16000","Idaho",7,SAGDP2N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Millions of current dollars",12979.3,14397.3,15277.4,16340.5,17854.4,19963.9
 "16000","Idaho",7,SAGDP2N,51,"52","   Finance and insurance ","Millions of current dollars",3377.0,3705.3,3836.1,4305.4,4894.8,5089.8
