GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "06000","California",8,SAGDP3N,1,"...","All industry total ","Thousands of dollars",166139369,181736911,205520897,142307906,172709320,234074697
 "06000","California",8,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",169691621,185495736,209528493,149456758,180727275,243831531
 "06000","California",8,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1141964,1121624,1043538,-2264052,293098,1378340
 "06000","California",8,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",720529,620411,517256,-2323497,-243610,574915
 "06000","California",8,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",421435,501213,526282,59445,536708,803425
 "06000","California",8,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1455985,1473029,1425433,1177524,1348561,1616921
 "06000","California",8,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",1231792,1233642,1176142,952930,1119263,1331397
 "06000","California",8,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",132620,158704,162031,148391,159896,191603
 "06000","California",8,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",91572,80683,87259,76204,69402,93921
 "06000","California",8,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",8050004,8135097,8467488,8690735,8867366,9930393
 "06000","California",8,SAGDP3N,11,"23","  Construction ","Thousands of dollars",1181454,1358976,1516688,-1517523,-31772,1890782
 "06000","California",8,SAGDP3N,12,"31-33","  Manufacturing ","Thousands of dollars",10909027,11379038,12066639,7773034,10579680,13887542
 "06000","California",8,SAGDP3N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",4357579,4666034,5076503,2785786,4556509,6425745
 "06000","California",8,SAGDP3N,14,"321","    Wood product manufacturing ","Thousands of dollars",44683,48916,55004,-9760,23829,67512
 "06000","California",8,SAGDP3N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",114422,124293,135485,51995,97319,156912
 "06000","California",8,SAGDP3N,16,"331","    Primary metal manufacturing ","Thousands of dollars",110362,114644,126636,64834,114922,136884
 "06000","California",8,SAGDP3N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",288491,302696,328501,-164577,12503,354991
 "06000","California",8,SAGDP3N,18,"333","    Machinery manufacturing ","Thousands of dollars",304789,313014,349060,18982,237993,422836
 "06000","California",8,SAGDP3N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",2623375,2823852,3025103,2792913,3483617,3888869
 "06000","California",8,SAGDP3N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",78603,86708,95292,-142730,14329,110797
 "06000","California",8,SAGDP3N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",157669,181293,203061,207009,256224,366405
 "06000","California",8,SAGDP3N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",355625,373987,407808,176252,352905,517698
 "06000","California",8,SAGDP3N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",32666,33777,37090,-129933,-99311,43808
 "06000","California",8,SAGDP3N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",246895,262854,313466,-79197,62180,359031
 "06000","California",8,SAGDP3N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",6551447,6713004,6990136,4987248,6023171,7461798
 "06000","California",8,SAGDP3N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",3442037,3561252,3716811,2719776,3208665,3943867
 "06000","California",8,SAGDP3N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",41105,48599,56522,-54078,26151,69402
 "06000","California",8,SAGDP3N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",69488,70667,77108,-199399,-102595,90941
 "06000","California",8,SAGDP3N,29,"322","    Paper manufacturing ","Thousands of dollars",94432,101633,113307,76310,107461,134609
 "06000","California",8,SAGDP3N,30,"323","    Printing and related support activities ","Thousands of dollars",61912,62894,69271,-256513,-133762,78289
 "06000","California",8,SAGDP3N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",562327,595410,642293,654100,633225,677711
 "06000","California",8,SAGDP3N,32,"325","    Chemical manufacturing ","Thousands of dollars",2181620,2164296,2194681,2019872,2220343,2325749
 "06000","California",8,SAGDP3N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",98526,108254,120143,27180,63683,141231
 "06000","California",8,SAGDP3N,34,"42","  Wholesale trade ","Thousands of dollars",38607643,46261578,56541334,48657434,59699444,66874890
 "06000","California",8,SAGDP3N,35,"44-45","  Retail trade ","Thousands of dollars",34434997,35884881,40802582,33719831,42363006,52741231
 "06000","California",8,SAGDP3N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",4244608,4562014,5177364,-812020,-109038,5464067
 "06000","California",8,SAGDP3N,37,"481","   Air transportation ","Thousands of dollars",3443688,3711585,3982745,-549343,163070,3935314
 "06000","California",8,SAGDP3N,38,"482","   Rail transportation ","Thousands of dollars",-395611,-474914,-363906,-511211,-525528,-294522
 "06000","California",8,SAGDP3N,39,"483","   Water transportation ","Thousands of dollars",92413,96262,106472,60695,42815,109666
 "06000","California",8,SAGDP3N,40,"484","   Truck transportation ","Thousands of dollars",408625,444643,484933,-45275,279894,594009
 "06000","California",8,SAGDP3N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",151661,205539,326995,156889,-572232,327046
 "06000","California",8,SAGDP3N,42,"486","   Pipeline transportation ","Thousands of dollars",120332,127745,126852,118361,115528,133519
 "06000","California",8,SAGDP3N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",320242,334769,374501,-76583,257949,469773
 "06000","California",8,SAGDP3N,44,"493","   Warehousing and storage ","Thousands of dollars",103256,116385,138773,34447,129467,189262
 "06000","California",8,SAGDP3N,45,"51","  Information ","Thousands of dollars",5153538,5495327,5964768,4754368,4260235,6043342
 "06000","California",8,SAGDP3N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",924597,1011470,1192076,879053,915887,1462204
 "06000","California",8,SAGDP3N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",1813766,1810630,1957630,1493974,574143,1822545
 "06000","California",8,SAGDP3N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",947388,918764,970632,768664,845130,821437
 "06000","California",8,SAGDP3N,49,"518-519","   Data processing, hosting, and other information services ","Thousands of dollars",1467787,1754463,1844430,1612677,1925075,1937156
 "06000","California",8,SAGDP3N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",41382507,45149417,48641356,48312060,50500279,55897833
 "06000","California",8,SAGDP3N,51,"52","   Finance and insurance ","Thousands of dollars",5443810,7131837,6248816,6720086,6868427,7565814
 "06000","California",8,SAGDP3N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Thousands of dollars",1702069,1781403,1967111,1788206,2203240,2154859
 "06000","California",8,SAGDP3N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Thousands of dollars",601782,613520,682084,307858,839461,960367
 "06000","California",8,SAGDP3N,54,"524","    Insurance carriers and related activities ","Thousands of dollars",3070466,4661465,3511373,4603731,3750667,4353358
 "06000","California",8,SAGDP3N,55,"525","    Funds, trusts, and other financial vehicles ","Thousands of dollars",69493,75450,88249,20291,75059,97230
 "06000","California",8,SAGDP3N,56,"53","   Real estate and rental and leasing ","Thousands of dollars",35938697,38017580,42392539,41591975,43631852,48332019
 "06000","California",8,SAGDP3N,57,"531","    Real estate ","Thousands of dollars",33994064,36018432,40165227,39932520,41723944,46033852
 "06000","California",8,SAGDP3N,58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets ","Thousands of dollars",1944633,1999147,2227313,1659455,1907908,2298167
 "06000","California",8,SAGDP3N,59,"54,55,56","  Professional and business services ","Thousands of dollars",5181033,5591725,6252042,-2411445,3292508,7828570
 "06000","California",8,SAGDP3N,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",3380433,3580955,4012243,-2471556,1641655,5126778
 "06000","California",8,SAGDP3N,61,"5411","    Legal services ","Thousands of dollars",1158093,1147726,1215379,-264622,1113316,1812491
 "06000","California",8,SAGDP3N,62,"5415","    Computer systems design and related services ","Thousands of dollars",674405,720278,877104,90972,579910,959177
 "06000","California",8,SAGDP3N,63,"5412-5414,5416-5419","    Miscellaneous professional, scientific, and technical services ","Thousands of dollars",1547935,1712951,1919760,-2297907,-51571,2355110
 "06000","California",8,SAGDP3N,64,"55","   Management of companies and enterprises ","Thousands of dollars",598642,689586,742729,686976,795608,861054
