GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "92000","Mideast",2,SAGDP3N,1,"...","All industry total ","Thousands of dollars",246756355,261430624,272200855,174334073,222905600,295565223
 "92000","Mideast",2,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",253765158,269073339,279903764,188049982,235497965,311089671
 "92000","Mideast",2,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",495834,505226,318141,-892669,78454,648829
 "92000","Mideast",2,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",434267,438716,250810,-861624,50948,572048
 "92000","Mideast",2,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",61567,66509,67331,-31045,27507,76781
 "92000","Mideast",2,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1103377,1021862,1074162,898309,1198239,1469268
 "92000","Mideast",2,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",696361,603439,653176,647685,795710,960846
 "92000","Mideast",2,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",306930,316953,318879,220266,341932,406703
 "92000","Mideast",2,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",100086,101470,102107,30358,60597,101718
 "92000","Mideast",2,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",12203946,12637131,12844470,12672184,13129050,14080674
 "92000","Mideast",2,SAGDP3N,11,"23","  Construction ","Thousands of dollars",1784692,1817786,1917688,-7562621,-2877148,2134356
 "92000","Mideast",2,SAGDP3N,12,"31-33","  Manufacturing ","Thousands of dollars",14220702,14211057,14223590,7445740,10896486,15136266
 "92000","Mideast",2,SAGDP3N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",3566828,3695227,3843206,-198659,1580754,4124234
 "92000","Mideast",2,SAGDP3N,14,"321","    Wood product manufacturing ","Thousands of dollars",67406,69924,74593,-109206,-35412,88190
 "92000","Mideast",2,SAGDP3N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",238748,247782,263693,41273,168801,291557
 "92000","Mideast",2,SAGDP3N,16,"331","    Primary metal manufacturing ","Thousands of dollars",373825,385980,405977,213502,289603,451677
 "92000","Mideast",2,SAGDP3N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",455788,469791,522609,-550525,-127952,519621
 "92000","Mideast",2,SAGDP3N,18,"333","    Machinery manufacturing ","Thousands of dollars",442186,442342,465555,-150946,238261,498954
 "92000","Mideast",2,SAGDP3N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",1176289,1220892,1218163,557384,988522,1307270
 "92000","Mideast",2,SAGDP3N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",143737,150894,160108,-52897,64275,181219
 "92000","Mideast",2,SAGDP3N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",172629,179204,188729,125053,92761,189307
 "92000","Mideast",2,SAGDP3N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",134839,148891,157675,78214,86222,180738
 "92000","Mideast",2,SAGDP3N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",52190,54412,58655,-144609,-105249,62931
 "92000","Mideast",2,SAGDP3N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",309191,325113,327448,-205903,-79078,352772
 "92000","Mideast",2,SAGDP3N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",10653874,10515831,10380384,7644399,9315732,11012032
 "92000","Mideast",2,SAGDP3N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",5367856,5102211,4779295,3784692,4340540,4549445
 "92000","Mideast",2,SAGDP3N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",69986,69972,74390,-108564,12313,80879
 "92000","Mideast",2,SAGDP3N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",84208,78788,74995,-207514,-106919,76487
 "92000","Mideast",2,SAGDP3N,29,"322","    Paper manufacturing ","Thousands of dollars",298876,302461,309849,55846,247981,347461
 "92000","Mideast",2,SAGDP3N,30,"323","    Printing and related support activities ","Thousands of dollars",148721,148211,157384,-246216,-143699,175525
 "92000","Mideast",2,SAGDP3N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",424391,433812,436737,388840,437006,492010
 "92000","Mideast",2,SAGDP3N,32,"325","    Chemical manufacturing ","Thousands of dollars",4005365,4112814,4255529,3950269,4380640,4971168
 "92000","Mideast",2,SAGDP3N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",254470,267562,292203,27046,147870,319056
