GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "42000","Pennsylvania",2,SAGDP3N,1,"...","All industry total ","Thousands of dollars",47897060,50704502,52267124,31465538,42544135,56670763
 "42000","Pennsylvania",2,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",48722477,51595180,53153308,33056261,44110907,58581365
 "42000","Pennsylvania",2,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",246850,242096,177347,-247748,96559,301212
 "42000","Pennsylvania",2,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",226711,219468,154629,-236397,85840,274750
 "42000","Pennsylvania",2,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",20139,22628,22718,-11351,10718,26462
 "42000","Pennsylvania",2,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",924253,825696,873589,753589,971335,1185368
 "42000","Pennsylvania",2,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",670574,567726,617559,610690,747147,898836
 "42000","Pennsylvania",2,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",171617,172766,169247,119769,175263,199544
 "42000","Pennsylvania",2,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",82062,85204,86783,23130,48925,86988
 "42000","Pennsylvania",2,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",2620170,2669370,2765343,2649780,2649136,2852125
 "42000","Pennsylvania",2,SAGDP3N,11,"23","  Construction ","Thousands of dollars",297859,318248,340368,-2010764,-887820,402048
 "42000","Pennsylvania",2,SAGDP3N,12,"31-33","  Manufacturing ","Thousands of dollars",2288774,2425420,2586594,446541,1496708,2830747
 "42000","Pennsylvania",2,SAGDP3N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",896276,952904,1039756,-448618,279027,1134268
 "42000","Pennsylvania",2,SAGDP3N,14,"321","    Wood product manufacturing ","Thousands of dollars",30061,31986,34541,-66397,-8189,40833
 "42000","Pennsylvania",2,SAGDP3N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",61843,64570,70303,-8981,45800,78215
 "42000","Pennsylvania",2,SAGDP3N,16,"331","    Primary metal manufacturing ","Thousands of dollars",192512,204755,217517,112058,153366,242050
 "42000","Pennsylvania",2,SAGDP3N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",146130,155612,179900,-347741,-42369,184350
