GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "97000","Rocky Mountain",7,SAGDP3N,1,"...","All industry total ","Thousands of dollars",41239815,44027343,46941631,20079045,37404626,55477221
 "97000","Rocky Mountain",7,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",41969636,44959108,47782398,21505031,38966947,57420097
 "97000","Rocky Mountain",7,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-210478,-167834,-204387,-2148428,-1052104,-616323
 "97000","Rocky Mountain",7,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",-277731,-242946,-283478,-2142762,-1111039,-715336
 "97000","Rocky Mountain",7,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",67253,75113,79091,-5666,58936,99013
 "97000","Rocky Mountain",7,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",3811940,4153579,4339937,3751921,4521667,6136666
 "97000","Rocky Mountain",7,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",2679816,2869719,3053748,2927088,3341856,4295895
 "97000","Rocky Mountain",7,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",904066,1061799,1056955,833234,1137896,1608523
 "97000","Rocky Mountain",7,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",228058,222061,229234,-8400,41915,232248
 "97000","Rocky Mountain",7,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",1709465,1800541,1903354,1876297,1901140,2094138
 "97000","Rocky Mountain",7,SAGDP3N,11,"23","  Construction ","Thousands of dollars",387444,420589,450229,-3237855,-936746,543010
 "97000","Rocky Mountain",7,SAGDP3N,12,"31-33","  Manufacturing ","Thousands of dollars",2033668,2068381,2189040,92628,1214814,2309906
 "97000","Rocky Mountain",7,SAGDP3N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",794239,817278,905924,-465845,226113,956447
 "97000","Rocky Mountain",7,SAGDP3N,14,"321","    Wood product manufacturing ","Thousands of dollars",29428,30553,33502,-55812,7550,37739
 "97000","Rocky Mountain",7,SAGDP3N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",60601,63008,67762,2651,38505,75680
 "97000","Rocky Mountain",7,SAGDP3N,16,"331","    Primary metal manufacturing ","Thousands of dollars",41282,40454,45810,-47,25258,51073
 "97000","Rocky Mountain",7,SAGDP3N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",92184,91618,112790,-208586,-86271,112950
 "97000","Rocky Mountain",7,SAGDP3N,18,"333","    Machinery manufacturing ","Thousands of dollars",62786,66070,75058,-153752,-11286,81744
