GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "53000","Washington",8,SAGDP3N,1,"...","All industry total ","Thousands of dollars",40969205,44318235,48078517,32751055,43608186,56754137
 "53000","Washington",8,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",41676227,45076000,48857088,34182920,45039651,58513836
 "53000","Washington",8,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",113786,154527,131548,-803220,-196760,180661
 "53000","Washington",8,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",-8478,-2391,-26511,-747391,-313715,-88708
 "53000","Washington",8,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",122264,156918,158060,-55829,116956,269369
 "53000","Washington",8,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",42563,46452,41663,24760,30733,46486
 "53000","Washington",8,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",823,905,930,842,1002,1295
 "53000","Washington",8,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",37033,38475,36424,26590,35293,41425
 "53000","Washington",8,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",4707,7072,4309,-2672,-5561,3766
 "53000","Washington",8,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",1432547,1541619,1623677,1668891,1741281,1945903
 "53000","Washington",8,SAGDP3N,11,"23","  Construction ","Thousands of dollars",687595,763169,841671,-1415390,14744,1053011
 "53000","Washington",8,SAGDP3N,12,"31-33","  Manufacturing ","Thousands of dollars",1427711,1518967,1509182,295803,915453,1634337
 "53000","Washington",8,SAGDP3N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",716785,773075,762583,26365,312420,809455
 "53000","Washington",8,SAGDP3N,14,"321","    Wood product manufacturing ","Thousands of dollars",27007,28526,28070,-13402,-2919,32763
 "53000","Washington",8,SAGDP3N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",33221,36148,35365,-13216,1643,40243
 "53000","Washington",8,SAGDP3N,16,"331","    Primary metal manufacturing ","Thousands of dollars",34539,36096,36281,29001,33865,39298
 "53000","Washington",8,SAGDP3N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",40324,44094,46689,-110836,-38067,53690
 "53000","Washington",8,SAGDP3N,18,"333","    Machinery manufacturing ","Thousands of dollars",44227,47363,46463,-34481,14757,49821
 "53000","Washington",8,SAGDP3N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",115476,120835,118232,47894,85157,130959
 "53000","Washington",8,SAGDP3N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",10115,11817,10871,-17637,-4003,13970
 "53000","Washington",8,SAGDP3N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",19665,22013,22272,-16257,-3496,28862
 "53000","Washington",8,SAGDP3N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",355715,385563,372200,246019,262977,375530
 "53000","Washington",8,SAGDP3N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",5862,6059,5936,-30012,-12650,6842
 "53000","Washington",8,SAGDP3N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",30635,34560,40203,-60708,-24843,37477
 "53000","Washington",8,SAGDP3N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",710926,745893,746599,269439,603033,824882
 "53000","Washington",8,SAGDP3N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",379364,392420,395207,111596,300636,411032
 "53000","Washington",8,SAGDP3N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",6196,6212,6695,-5234,3026,7771
 "53000","Washington",8,SAGDP3N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",2712,3187,3402,-8307,-3067,3947
 "53000","Washington",8,SAGDP3N,29,"322","    Paper manufacturing ","Thousands of dollars",40462,42557,43259,-9262,42274,49758
 "53000","Washington",8,SAGDP3N,30,"323","    Printing and related support activities ","Thousands of dollars",9643,9583,10489,-54831,-18666,12417
 "53000","Washington",8,SAGDP3N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",117766,121580,118890,115584,130232,149469
 "53000","Washington",8,SAGDP3N,32,"325","    Chemical manufacturing ","Thousands of dollars",136637,150544,149425,114956,132541,169274
 "53000","Washington",8,SAGDP3N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",18147,19810,19233,4936,16056,21216
 "53000","Washington",8,SAGDP3N,34,"42","  Wholesale trade ","Thousands of dollars",7059160,7629758,8870069,7471964,9480955,10329436
 "53000","Washington",8,SAGDP3N,35,"44-45","  Retail trade ","Thousands of dollars",10174938,10502531,11821961,10907769,12857444,15162512
 "53000","Washington",8,SAGDP3N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",1214512,1317314,1396301,256019,277841,1505346
 "53000","Washington",8,SAGDP3N,37,"481","   Air transportation ","Thousands of dollars",836491,909572,965639,208793,78097,1026437
 "53000","Washington",8,SAGDP3N,38,"482","   Rail transportation ","Thousands of dollars",-6605,-13424,-1298,-52717,-44525,-7986
 "53000","Washington",8,SAGDP3N,39,"483","   Water transportation ","Thousands of dollars",86827,92213,98387,81252,71393,99855
 "53000","Washington",8,SAGDP3N,40,"484","   Truck transportation ","Thousands of dollars",163149,174134,172760,5252,111710,191746
 "53000","Washington",8,SAGDP3N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",21119,23577,31903,-7091,-40958,39387
 "53000","Washington",8,SAGDP3N,42,"486","   Pipeline transportation ","Thousands of dollars",18688,21844,21261,21096,23337,26398
 "53000","Washington",8,SAGDP3N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",84757,95336,95011,10299,75988,110297
 "53000","Washington",8,SAGDP3N,44,"493","   Warehousing and storage ","Thousands of dollars",10087,14062,12637,-10867,2799,19211
 "53000","Washington",8,SAGDP3N,45,"51","  Information ","Thousands of dollars",2487984,2662310,2880782,2985553,2961290,3460580
 "53000","Washington",8,SAGDP3N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",704321,792394,826847,823991,798769,1069695
 "53000","Washington",8,SAGDP3N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",51018,52832,53499,22922,33492,59960
 "53000","Washington",8,SAGDP3N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",1521741,1529540,1644056,1771880,1706230,1827078
 "53000","Washington",8,SAGDP3N,49,"518-519","   Data processing, hosting, and other information services ","Thousands of dollars",210904,287543,356380,366761,422799,503847
