GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "02000","Alaska",8,SAGDP4N,1,"...","All industry total ","Thousands of dollars",27153790,28290113,29023524,28358080,29276878,30946815
 "02000","Alaska",8,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",17363291,18026114,18819212,18262286,19288266,20697144
 "02000","Alaska",8,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",73815,72501,79981,(D),75044,82817
 "02000","Alaska",8,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",25726,23433,23177,24783,25488,28350
 "02000","Alaska",8,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",48089,49068,56804,(D),49556,54467
 "02000","Alaska",8,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2104153,2214443,2293513,2103503,2040244,2106648
 "02000","Alaska",8,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",944273,1019290,1032111,953845,938489,875157
 "02000","Alaska",8,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",399357,428300,423029,465259,499094,538314
 "02000","Alaska",8,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",760523,766853,838373,684399,602661,693177
 "02000","Alaska",8,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",280574,307889,321518,370150,403213,393229
 "02000","Alaska",8,SAGDP4N,11,"23","  Construction ","Thousands of dollars",1451900,1581344,1694173,1646947,1662219,1753233
 "02000","Alaska",8,SAGDP4N,12,"31-33","  Manufacturing ","Thousands of dollars",904590,898628,946416,(D),974227,1083800
 "02000","Alaska",8,SAGDP4N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",150474,152674,156051,(D),157163,172724
 "02000","Alaska",8,SAGDP4N,14,"321","    Wood product manufacturing ","Thousands of dollars",25057,18944,16835,15693,12632,14350
 "02000","Alaska",8,SAGDP4N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",21492,21251,19127,21289,21551,22393
 "02000","Alaska",8,SAGDP4N,16,"331","    Primary metal manufacturing ","Thousands of dollars",875,913,872,1148,946,2233
 "02000","Alaska",8,SAGDP4N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",27378,30349,35537,31940,32215,33523
 "02000","Alaska",8,SAGDP4N,18,"333","    Machinery manufacturing ","Thousands of dollars",7520,6590,7395,7756,7839,7895
 "02000","Alaska",8,SAGDP4N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",10452,13023,15313,14974,16537,17928
 "02000","Alaska",8,SAGDP4N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",(D),1092,(D),(D),(D),(D)
 "02000","Alaska",8,SAGDP4N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",2576,(D),(D),(D),2100,1851
 "02000","Alaska",8,SAGDP4N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",37592,(D),(D),(D),44570,52918
