GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "08000","Colorado",7,SAGDP4N,1,"...","All industry total ","Thousands of dollars",193227170,205553207,219298867,224468433,244737348,265595863
 "08000","Colorado",7,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",158116407,168683749,180883688,184398095,202516762,221840546
 "08000","Colorado",7,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",885122,880667,758379,963157,1000063,919572
 "08000","Colorado",7,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",612804,595204,443767,630547,684821,610871
 "08000","Colorado",7,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",272318,285463,314612,332610,315242,308702
 "08000","Colorado",7,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",3622862,4101691,4239260,3504510,3189130,3866543
 "08000","Colorado",7,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",1814954,1938017,2077709,1972612,1642365,1956808
 "08000","Colorado",7,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",421365,451967,454777,428788,461261,497187
 "08000","Colorado",7,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",1386542,1711707,1706773,1103110,1085504,1412548
 "08000","Colorado",7,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",1125215,1187889,1294164,1418881,1448009,1505897
 "08000","Colorado",7,SAGDP4N,11,"23","  Construction ","Thousands of dollars",11979269,13257426,14299848,14661906,15489526,16967305
 "08000","Colorado",7,SAGDP4N,12,"31-33","  Manufacturing ","Thousands of dollars",12647012,13228139,13992937,14208867,14970294,15729037
 "08000","Colorado",7,SAGDP4N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",8973814,9308659,9838547,9925346,10295067,10830817
 "08000","Colorado",7,SAGDP4N,14,"321","    Wood product manufacturing ","Thousands of dollars",188783,199487,217838,232470,263280,303494
 "08000","Colorado",7,SAGDP4N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",634488,663004,676367,679622,681336,724395
 "08000","Colorado",7,SAGDP4N,16,"331","    Primary metal manufacturing ","Thousands of dollars",163004,184603,197366,168984,184609,226696
 "08000","Colorado",7,SAGDP4N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",983744,1069072,1088729,1080491,1091860,1164526
 "08000","Colorado",7,SAGDP4N,18,"333","    Machinery manufacturing ","Thousands of dollars",1009800,1094845,1174543,1124069,1114194,1180937
 "08000","Colorado",7,SAGDP4N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",3117680,3156518,3354151,3389845,3531048,3578586
 "08000","Colorado",7,SAGDP4N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",203119,203247,215698,202188,224650,266506
 "08000","Colorado",7,SAGDP4N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",(D),(D),(D),(D),179572,214631
 "08000","Colorado",7,SAGDP4N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",(D),(D),(D),(D),1602764,1677793
 "08000","Colorado",7,SAGDP4N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",345189,372910,391286,388275,394552,424959
 "08000","Colorado",7,SAGDP4N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",912152,917852,940232,933173,1027203,1068294
 "08000","Colorado",7,SAGDP4N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",3673199,3919480,4154390,4283521,4675228,4898220
 "08000","Colorado",7,SAGDP4N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",1912994,2035276,2113128,2225676,2483259,2657047
 "08000","Colorado",7,SAGDP4N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",83012,84610,82181,77835,78215,80759
 "08000","Colorado",7,SAGDP4N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",43823,38460,30857,33818,37651,41239
 "08000","Colorado",7,SAGDP4N,29,"322","    Paper manufacturing ","Thousands of dollars",98393,99811,105678,107695,106813,112492
 "08000","Colorado",7,SAGDP4N,30,"323","    Printing and related support activities ","Thousands of dollars",319230,321505,316801,283409,278195,312941
