GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "24000","Maryland",2,SAGDP4N,1,"...","All industry total ","Thousands of dollars",215578117,223169736,230295764,233519956,248267724,262148918
 "24000","Maryland",2,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",157113588,162986103,168591351,168881769,181385873,192421573
 "24000","Maryland",2,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",309783,286883,257480,265319,260209,347921
 "24000","Maryland",2,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",217671,194663,159909,169439,164429,242641
 "24000","Maryland",2,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",92112,92221,97571,95880,95780,105280
 "24000","Maryland",2,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",100976,98075,99214,97843,102658,114742
 "24000","Maryland",2,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",(D),(D),729,(D),(D),9330
 "24000","Maryland",2,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",68424,76428,80863,73988,75043,81287
 "24000","Maryland",2,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",(D),(D),17622,(D),(D),24125
 "24000","Maryland",2,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",1681154,1687900,1739540,1787556,1792643,1829885
 "24000","Maryland",2,SAGDP4N,11,"23","  Construction ","Thousands of dollars",12992143,13228918,13897383,13821706,14303475,15205265
 "24000","Maryland",2,SAGDP4N,12,"31-33","  Manufacturing ","Thousands of dollars",10501445,10950318,11198528,11581959,12127158,12720311
 "24000","Maryland",2,SAGDP4N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",5866276,6107638,6247947,6359079,6775919,7029839
 "24000","Maryland",2,SAGDP4N,14,"321","    Wood product manufacturing ","Thousands of dollars",149266,164356,180244,196305,247453,291667
 "24000","Maryland",2,SAGDP4N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",302422,305419,318887,310207,320615,319734
 "24000","Maryland",2,SAGDP4N,16,"331","    Primary metal manufacturing ","Thousands of dollars",61141,62944,68394,66519,64264,97643
 "24000","Maryland",2,SAGDP4N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",619240,623964,643845,628090,676013,712265
 "24000","Maryland",2,SAGDP4N,18,"333","    Machinery manufacturing ","Thousands of dollars",613353,649368,682500,636514,701538,782354
 "24000","Maryland",2,SAGDP4N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",2836369,2949890,3042850,3100200,3394446,3484573
 "24000","Maryland",2,SAGDP4N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",182642,187289,187795,191299,185675,186414
