GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "23000","Maine",1,SAGDP4N,1,"...","All industry total ","Thousands of dollars",35744294,37361227,39017327,40351276,44036944,47446400
 "23000","Maine",1,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",28730351,30206935,31754974,32757376,36107232,39178224
 "23000","Maine",1,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",364606,372767,348039,361943,357313,406732
 "23000","Maine",1,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",117550,105877,87400,92748,89143,133207
 "23000","Maine",1,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",247056,266890,260639,269195,268170,273525
 "23000","Maine",1,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",16110,17487,16815,18030,19442,(D)
 "23000","Maine",1,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0
 "23000","Maine",1,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "23000","Maine",1,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",(D),(D),(D),(D),(D),0
 "23000","Maine",1,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",208991,207376,213115,241918,239840,(D)
 "23000","Maine",1,SAGDP4N,11,"23","  Construction ","Thousands of dollars",1705084,1828639,1963184,2119034,2338637,2544775
 "23000","Maine",1,SAGDP4N,12,"31-33","  Manufacturing ","Thousands of dollars",3689354,3824917,3991846,4035873,4365419,4627381
 "23000","Maine",1,SAGDP4N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",2083771,2184374,2243205,2194496,2419575,2579848
 "23000","Maine",1,SAGDP4N,14,"321","    Wood product manufacturing ","Thousands of dollars",256956,264148,259832,308177,304239,339445
 "23000","Maine",1,SAGDP4N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",89087,94529,95093,97226,98496,103894
 "23000","Maine",1,SAGDP4N,16,"331","    Primary metal manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),25165
 "23000","Maine",1,SAGDP4N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",316741,333403,362696,352507,352156,390764
 "23000","Maine",1,SAGDP4N,18,"333","    Machinery manufacturing ","Thousands of dollars",170714,169299,171375,165994,157883,162186
 "23000","Maine",1,SAGDP4N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",174760,197065,202386,204513,203803,225274
 "23000","Maine",1,SAGDP4N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",35038,35121,38543,40470,56013,42508
 "23000","Maine",1,SAGDP4N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),89199
 "23000","Maine",1,SAGDP4N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",786295,810957,824150,765779,879760,942178
 "23000","Maine",1,SAGDP4N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",72578,74670,75734,78324,89472,86568
