GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "39000","Ohio",3,SAGDP4N,1,"...","All industry total ","Thousands of dollars",349025729,361405780,373980573,376177215,399471087,425329656
 "39000","Ohio",3,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",291319533,301857263,313155945,313737151,335326854,359451155
 "39000","Ohio",3,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",842945,848606,862501,809400,810074,896236
 "39000","Ohio",3,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",616651,610502,617103,536238,535025,611249
 "39000","Ohio",3,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",226295,238105,245398,273162,275049,284987
 "39000","Ohio",3,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",998721,1090516,1063941,823399,780935,889738
 "39000","Ohio",3,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",109906,116994,118687,110570,124044,143896
 "39000","Ohio",3,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",358527,375457,370840,351123,334995,373521
 "39000","Ohio",3,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",530288,598065,574415,361705,321897,372322
 "39000","Ohio",3,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",2644591,2765858,2813938,2994466,2905441,2884827
 "39000","Ohio",3,SAGDP4N,11,"23","  Construction ","Thousands of dollars",16394712,16693702,17638351,17626818,18660520,20403774
 "39000","Ohio",3,SAGDP4N,12,"31-33","  Manufacturing ","Thousands of dollars",53450351,55597788,56698643,54453025,56687587,60742315
 "39000","Ohio",3,SAGDP4N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",36369110,37852192,38153575,35481588,36966995,39763948
 "39000","Ohio",3,SAGDP4N,14,"321","    Wood product manufacturing ","Thousands of dollars",691958,717753,747733,775689,849146,919759
 "39000","Ohio",3,SAGDP4N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",1999799,2071457,2107257,2054779,2124344,2237346
 "39000","Ohio",3,SAGDP4N,16,"331","    Primary metal manufacturing ","Thousands of dollars",3117662,3168939,3109494,2980772,3196609,3545985
 "39000","Ohio",3,SAGDP4N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",6912976,7271932,7299816,6669127,7133022,7632776
 "39000","Ohio",3,SAGDP4N,18,"333","    Machinery manufacturing ","Thousands of dollars",6339906,6675280,6711250,6285675,6607208,7121844
 "39000","Ohio",3,SAGDP4N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",1822049,1929913,1937895,1915601,1959912,2076998
 "39000","Ohio",3,SAGDP4N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",2337865,2285565,2281338,2211243,2438202,2404179
 "39000","Ohio",3,SAGDP4N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",8052780,8577120,8563881,7469881,7623149,8391804
 "39000","Ohio",3,SAGDP4N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",2651619,2602041,2838418,2579975,2280637,2536079
 "39000","Ohio",3,SAGDP4N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",914869,938691,907410,895883,982320,1021377
 "39000","Ohio",3,SAGDP4N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",1527627,1613500,1649082,1642963,1772446,1875801
 "39000","Ohio",3,SAGDP4N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",17081241,17745596,18545069,18971437,19720592,20978367
 "39000","Ohio",3,SAGDP4N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",4517861,4658750,4649528,4917985,5153535,5608604
 "39000","Ohio",3,SAGDP4N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",252764,256091,272705,270962,287698,290050
