GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "96000","Southwest",6,SAGDP4N,1,"...","All industry total ","Thousands of dollars",1176839053,1248206699,1316419645,1329452357,1435180516,1567368258
 "96000","Southwest",6,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",960689603,1024748776,1086177747,1090227974,1188910393,1313963882
 "96000","Southwest",6,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",4907991,5139218,4543658,4848264,5270360,4888637
 "96000","Southwest",6,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",2781840,2909343,2269260,2390578,2829485,2396331
 "96000","Southwest",6,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",2126151,2229875,2274398,2457686,2440875,2492307
 "96000","Southwest",6,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",41883133,46790918,47955580,37914632,34786659,41329171
 "96000","Southwest",6,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",21065981,21426547,22255034,19965487,17268024,18765467
 "96000","Southwest",6,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",2626725,2998606,3092727,2820980,2987752,3534199
 "96000","Southwest",6,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",18190427,22365766,22607819,15128165,14530883,19029504
 "96000","Southwest",6,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",11203463,11585735,12425050,12426192,12711496,13293807
 "96000","Southwest",6,SAGDP4N,11,"23","  Construction ","Thousands of dollars",71343741,77170184,84455216,83124049,86476959,97507251
 "96000","Southwest",6,SAGDP4N,12,"31-33","  Manufacturing ","Thousands of dollars",105964555,112723465,118727911,116087151,120630099,131599401
 "96000","Southwest",6,SAGDP4N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",72093369,77110728,81201130,78739048,82141928,88971563
 "96000","Southwest",6,SAGDP4N,14,"321","    Wood product manufacturing ","Thousands of dollars",1645668,1745938,1858457,1968209,2222285,2547495
 "96000","Southwest",6,SAGDP4N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",3828995,3886317,4033903,4120105,4469825,4748056
 "96000","Southwest",6,SAGDP4N,16,"331","    Primary metal manufacturing ","Thousands of dollars",2074746,2197979,2253379,2124863,2345771,2702376
 "96000","Southwest",6,SAGDP4N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",11717758,13070016,13550870,12549527,13153992,14342662
 "96000","Southwest",6,SAGDP4N,18,"333","    Machinery manufacturing ","Thousands of dollars",11781153,12910519,13227894,11678286,11524109,13056813
 "96000","Southwest",6,SAGDP4N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",19135367,19592099,21105105,21399475,22365290,23443955
 "96000","Southwest",6,SAGDP4N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",2388235,2566055,2678139,2494213,2596500,2947179
 "96000","Southwest",6,SAGDP4N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",3692999,3941839,4036993,3878867,4447850,5037130
 "96000","Southwest",6,SAGDP4N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",10657710,11665405,(D),12670692,(D),(D)
 "96000","Southwest",6,SAGDP4N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",1618894,1706874,(D),1798397,(D),(D)
 "96000","Southwest",6,SAGDP4N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",3551842,3827686,3990650,4056414,(D),4896691
 "96000","Southwest",6,SAGDP4N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",33871186,35612738,37526782,37348103,38488172,42627838
 "96000","Southwest",6,SAGDP4N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",8604677,9120820,9497746,10092886,10974065,12005940
 "96000","Southwest",6,SAGDP4N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",418417,434025,441757,433516,490248,553579
 "96000","Southwest",6,SAGDP4N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",513575,537681,550198,514004,576008,661192
