GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "09000","Connecticut",1,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-552148,-573194,-580455,-8686467,-5768647,-1351882
 "09000","Connecticut",1,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-323203,-321937,-319679,-8239758,-5246563,-722522
 "09000","Connecticut",1,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-4381,-5159,-6480,-73479,-25186,-15547
 "09000","Connecticut",1,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-4381,-5159,-6480,-55003,-21750,-15544
 "09000","Connecticut",1,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,-18476,-3436,-3
 "09000","Connecticut",1,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,-7382,-4674,-4
 "09000","Connecticut",1,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0
 "09000","Connecticut",1,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,-6060,-4325,-4
 "09000","Connecticut",1,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,-1323,-349,-1
 "09000","Connecticut",1,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,-12166,-9843,0
 "09000","Connecticut",1,SAGDP5N,11,"23","  Construction ","Thousands of dollars",0,0,0,-1075268,-542756,-598
 "09000","Connecticut",1,SAGDP5N,12,"31-33","  Manufacturing ","Thousands of dollars",-5496,-5683,-7338,-819849,-514302,-9641
 "09000","Connecticut",1,SAGDP5N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",-5095,-5339,-7065,-614918,-387106,-9272
 "09000","Connecticut",1,SAGDP5N,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,-21212,-15219,-1
 "09000","Connecticut",1,SAGDP5N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,-17833,-10420,0
 "09000","Connecticut",1,SAGDP5N,16,"331","    Primary metal manufacturing ","Thousands of dollars",0,0,0,-22319,-4676,0
 "09000","Connecticut",1,SAGDP5N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",0,0,0,-195063,-115321,-80
 "09000","Connecticut",1,SAGDP5N,18,"333","    Machinery manufacturing ","Thousands of dollars",0,0,0,-79753,-42396,-21
 "09000","Connecticut",1,SAGDP5N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",0,0,0,-77352,-43203,-7
 "09000","Connecticut",1,SAGDP5N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",-5095,-5339,-7065,-41362,-34963,-9112
 "09000","Connecticut",1,SAGDP5N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",0,0,0,-18983,-18621,-3
 "09000","Connecticut",1,SAGDP5N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",0,0,0,-37150,-34307,0
 "09000","Connecticut",1,SAGDP5N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",0,0,0,-35767,-26942,-7
 "09000","Connecticut",1,SAGDP5N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",0,0,0,-68125,-41037,-42
 "09000","Connecticut",1,SAGDP5N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",-401,-344,-272,-204931,-127196,-369
 "09000","Connecticut",1,SAGDP5N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",0,0,0,-73717,-38449,-5
 "09000","Connecticut",1,SAGDP5N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",-307,-234,-211,-10263,-6415,-193
 "09000","Connecticut",1,SAGDP5N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",0,0,0,-2952,-4868,-4
 "09000","Connecticut",1,SAGDP5N,29,"322","    Paper manufacturing ","Thousands of dollars",0,0,0,-4706,-493,0
 "09000","Connecticut",1,SAGDP5N,30,"323","    Printing and related support activities ","Thousands of dollars",0,0,0,-23097,-39189,-13
 "09000","Connecticut",1,SAGDP5N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",0,0,0,-5692,-1090,0
 "09000","Connecticut",1,SAGDP5N,32,"325","    Chemical manufacturing ","Thousands of dollars",-94,-110,-62,-38305,-25317,-148
 "09000","Connecticut",1,SAGDP5N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",0,0,0,-46198,-11374,-6
 "09000","Connecticut",1,SAGDP5N,34,"42","  Wholesale trade ","Thousands of dollars",0,0,0,-332087,-128654,-203
 "09000","Connecticut",1,SAGDP5N,35,"44-45","  Retail trade ","Thousands of dollars",0,0,0,-556985,-235264,-907
 "09000","Connecticut",1,SAGDP5N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",-48251,-58948,-55562,-282970,-292001,-78318
 "09000","Connecticut",1,SAGDP5N,37,"481","   Air transportation ","Thousands of dollars",-671,-575,-689,-48530,-77352,-1638
 "09000","Connecticut",1,SAGDP5N,38,"482","   Rail transportation ","Thousands of dollars",-47120,-58155,-54720,-85912,-125182,-76036
 "09000","Connecticut",1,SAGDP5N,39,"483","   Water transportation ","Thousands of dollars",-460,-218,-153,-1556,-5616,-95
 "09000","Connecticut",1,SAGDP5N,40,"484","   Truck transportation ","Thousands of dollars",0,0,0,-74676,-22134,-130
 "09000","Connecticut",1,SAGDP5N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",0,0,0,-19251,-44672,-310
 "09000","Connecticut",1,SAGDP5N,42,"486","   Pipeline transportation ","Thousands of dollars",0,0,0,-97,-63,0
 "09000","Connecticut",1,SAGDP5N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",0,0,0,-49771,-15135,-99
 "09000","Connecticut",1,SAGDP5N,44,"493","   Warehousing and storage ","Thousands of dollars",0,0,0,-3175,-1846,-9
 "09000","Connecticut",1,SAGDP5N,45,"51","  Information ","Thousands of dollars",-155,-75,-96,-148948,-100911,-13212
 "09000","Connecticut",1,SAGDP5N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",0,0,0,-59655,-14277,-30
 "09000","Connecticut",1,SAGDP5N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",0,0,0,-11300,-64108,-13117
 "09000","Connecticut",1,SAGDP5N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",-155,-75,-96,-16530,-7751,-53
 "09000","Connecticut",1,SAGDP5N,49,"518-519","   Data processing, hosting, and other information services ","Thousands of dollars",0,0,0,-61463,-14775,-13
 "09000","Connecticut",1,SAGDP5N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",-260282,-251930,-250061,-742656,-471872,-289583
 "09000","Connecticut",1,SAGDP5N,51,"52","   Finance and insurance ","Thousands of dollars",-4985,-4469,-3624,-225041,-55174,-6544
 "09000","Connecticut",1,SAGDP5N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Thousands of dollars",-4985,-4469,-3624,-47231,-18327,-5988
