GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "33000","New Hampshire",1,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-157708,-153533,-152997,-2903820,-1942043,-350964
 "33000","New Hampshire",1,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-110991,-99235,-100298,-2804379,-1828039,-212962
 "33000","New Hampshire",1,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-5540,-6853,-6723,-40314,-20675,-6077
 "33000","New Hampshire",1,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-5540,-6853,-6723,-27166,-14728,-6072
 "33000","New Hampshire",1,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,-13148,-5947,-6
 "33000","New Hampshire",1,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,-3798,-2820,-6
 "33000","New Hampshire",1,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0
 "33000","New Hampshire",1,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,-2025,-372,-4
 "33000","New Hampshire",1,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,-1773,-2448,-2
 "33000","New Hampshire",1,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,-3873,-1694,0
 "33000","New Hampshire",1,SAGDP5N,11,"23","  Construction ","Thousands of dollars",0,0,0,-340609,-269101,-234
 "33000","New Hampshire",1,SAGDP5N,12,"31-33","  Manufacturing ","Thousands of dollars",-3518,-3373,-3729,-324308,-149805,-4364
 "33000","New Hampshire",1,SAGDP5N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",-3221,-3057,-3475,-257845,-101411,-4137
 "33000","New Hampshire",1,SAGDP5N,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,-7801,-883,-4
 "33000","New Hampshire",1,SAGDP5N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,-4429,-3244,0
 "33000","New Hampshire",1,SAGDP5N,16,"331","    Primary metal manufacturing ","Thousands of dollars",0,0,0,-10193,-4736,0
 "33000","New Hampshire",1,SAGDP5N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",0,0,0,-53001,-29517,-34
 "33000","New Hampshire",1,SAGDP5N,18,"333","    Machinery manufacturing ","Thousands of dollars",0,0,0,-48751,-9528,-13
 "33000","New Hampshire",1,SAGDP5N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",0,0,0,-65665,-23319,-10
 "33000","New Hampshire",1,SAGDP5N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",-3221,-3057,-3475,-10599,-7251,-4065
 "33000","New Hampshire",1,SAGDP5N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",0,0,0,-2332,-5574,-1
 "33000","New Hampshire",1,SAGDP5N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",0,0,0,-9786,-969,0
 "33000","New Hampshire",1,SAGDP5N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",0,0,0,-8913,-8001,-2
 "33000","New Hampshire",1,SAGDP5N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",0,0,0,-36374,-8389,-9
 "33000","New Hampshire",1,SAGDP5N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",-297,-316,-254,-66463,-48394,-227
 "33000","New Hampshire",1,SAGDP5N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",0,0,0,-24834,-14382,-2
 "33000","New Hampshire",1,SAGDP5N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",-276,-295,-240,-5152,-879,-166
 "33000","New Hampshire",1,SAGDP5N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",0,0,0,-4534,-3140,-5
 "33000","New Hampshire",1,SAGDP5N,29,"322","    Paper manufacturing ","Thousands of dollars",0,0,0,-1989,-8405,0
 "33000","New Hampshire",1,SAGDP5N,30,"323","    Printing and related support activities ","Thousands of dollars",0,0,0,-15212,-13482,-4
 "33000","New Hampshire",1,SAGDP5N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",0,0,0,-2525,-2605,0
 "33000","New Hampshire",1,SAGDP5N,32,"325","    Chemical manufacturing ","Thousands of dollars",-21,-21,-14,-3989,-3042,-45
 "33000","New Hampshire",1,SAGDP5N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",0,0,0,-8229,-2459,-5
 "33000","New Hampshire",1,SAGDP5N,34,"42","  Wholesale trade ","Thousands of dollars",0,0,0,-241279,-48504,-71
 "33000","New Hampshire",1,SAGDP5N,35,"44-45","  Retail trade ","Thousands of dollars",0,0,0,-287779,-132189,-515
 "33000","New Hampshire",1,SAGDP5N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",-8908,-10587,-8767,-94402,-41532,-7456
 "33000","New Hampshire",1,SAGDP5N,37,"481","   Air transportation ","Thousands of dollars",-177,-150,-171,-15062,-13360,-661
 "33000","New Hampshire",1,SAGDP5N,38,"482","   Rail transportation ","Thousands of dollars",-8728,-10437,-8595,-8652,-8944,-6657
 "33000","New Hampshire",1,SAGDP5N,39,"483","   Water transportation ","Thousands of dollars",-3,-1,-1,-1432,-47,-2
 "33000","New Hampshire",1,SAGDP5N,40,"484","   Truck transportation ","Thousands of dollars",0,0,0,-39620,-4972,-40
 "33000","New Hampshire",1,SAGDP5N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",0,0,0,-5887,-8169,-60
 "33000","New Hampshire",1,SAGDP5N,42,"486","   Pipeline transportation ","Thousands of dollars",0,0,0,0,0,0
 "33000","New Hampshire",1,SAGDP5N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",0,0,0,-22547,-4694,-35
 "33000","New Hampshire",1,SAGDP5N,44,"493","   Warehousing and storage ","Thousands of dollars",0,0,0,-1203,-1346,-2
 "33000","New Hampshire",1,SAGDP5N,45,"51","  Information ","Thousands of dollars",-37,-17,-20,-52547,-20310,-673
 "33000","New Hampshire",1,SAGDP5N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",0,0,0,-32428,-8576,-19
 "33000","New Hampshire",1,SAGDP5N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",0,0,0,-5507,-3792,-641
 "33000","New Hampshire",1,SAGDP5N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",-37,-17,-20,-7349,-5480,-10
 "33000","New Hampshire",1,SAGDP5N,49,"518-519","   Data processing, hosting, and other information services ","Thousands of dollars",0,0,0,-7264,-2462,-3
 "33000","New Hampshire",1,SAGDP5N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",-91044,-78343,-80997,-255363,-168710,-104435
 "33000","New Hampshire",1,SAGDP5N,51,"52","   Finance and insurance ","Thousands of dollars",-923,-1020,-846,-63448,-13502,-1671
