GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "55000","Wisconsin",3,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-779643,-909071,-1115735,-11298773,-7103206,-1569548
 "55000","Wisconsin",3,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-498572,-636323,-833710,-10899685,-6650227,-1018938
 "55000","Wisconsin",3,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-117909,-273929,-471544,-1570153,-829926,-190417
 "55000","Wisconsin",3,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-117909,-273929,-471544,-1533154,-803116,-190384
 "55000","Wisconsin",3,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,-36999,-26809,-33
 "55000","Wisconsin",3,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,-15584,-4801,-26
 "55000","Wisconsin",3,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0
 "55000","Wisconsin",3,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,-14745,-4282,-19
 "55000","Wisconsin",3,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,-840,-519,-6
 "55000","Wisconsin",3,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,-16552,-6212,0
 "55000","Wisconsin",3,SAGDP5N,11,"23","  Construction ","Thousands of dollars",0,0,0,-1068848,-554963,-1204
 "55000","Wisconsin",3,SAGDP5N,12,"31-33","  Manufacturing ","Thousands of dollars",-17349,-16475,-18224,-2045308,-906437,-20874
 "55000","Wisconsin",3,SAGDP5N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",-16791,-15847,-17573,-1381896,-692755,-20090
 "55000","Wisconsin",3,SAGDP5N,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,-73678,-27551,-29
 "55000","Wisconsin",3,SAGDP5N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,-25819,-14745,0
 "55000","Wisconsin",3,SAGDP5N,16,"331","    Primary metal manufacturing ","Thousands of dollars",0,0,0,-40041,-19529,0
 "55000","Wisconsin",3,SAGDP5N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",0,0,0,-546601,-253755,-189
 "55000","Wisconsin",3,SAGDP5N,18,"333","    Machinery manufacturing ","Thousands of dollars",0,0,0,-313052,-92650,-118
 "55000","Wisconsin",3,SAGDP5N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",0,0,0,-86179,-80275,-10
 "55000","Wisconsin",3,SAGDP5N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",-16791,-15847,-17573,-86217,-40961,-19655
 "55000","Wisconsin",3,SAGDP5N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",0,0,0,-34224,-22012,-22
 "55000","Wisconsin",3,SAGDP5N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",0,0,0,-14514,-28090,0
 "55000","Wisconsin",3,SAGDP5N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",0,0,0,-78022,-41748,-31
 "55000","Wisconsin",3,SAGDP5N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",0,0,0,-83550,-71437,-37
 "55000","Wisconsin",3,SAGDP5N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",-558,-628,-650,-663412,-213682,-784
 "55000","Wisconsin",3,SAGDP5N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",0,0,0,-259410,-47015,-34
 "55000","Wisconsin",3,SAGDP5N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",-405,-475,-553,-18011,-3575,-341
 "55000","Wisconsin",3,SAGDP5N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",0,0,0,-26464,-8159,-11
 "55000","Wisconsin",3,SAGDP5N,29,"322","    Paper manufacturing ","Thousands of dollars",0,0,0,-51693,-23836,0
 "55000","Wisconsin",3,SAGDP5N,30,"323","    Printing and related support activities ","Thousands of dollars",0,0,0,-95603,-36414,-63
 "55000","Wisconsin",3,SAGDP5N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",0,0,0,-3345,-1477,0
 "55000","Wisconsin",3,SAGDP5N,32,"325","    Chemical manufacturing ","Thousands of dollars",-153,-153,-97,-104839,-41285,-294
 "55000","Wisconsin",3,SAGDP5N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",0,0,0,-104047,-51920,-41
 "55000","Wisconsin",3,SAGDP5N,34,"42","  Wholesale trade ","Thousands of dollars",0,0,0,-587220,-183560,-237
 "55000","Wisconsin",3,SAGDP5N,35,"44-45","  Retail trade ","Thousands of dollars",0,0,0,-728765,-375976,-1462
 "55000","Wisconsin",3,SAGDP5N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",-40204,-46418,-39515,-457960,-260350,-38034
 "55000","Wisconsin",3,SAGDP5N,37,"481","   Air transportation ","Thousands of dollars",-948,-854,-982,-98273,-83756,-1930
 "55000","Wisconsin",3,SAGDP5N,38,"482","   Rail transportation ","Thousands of dollars",-39230,-45550,-38522,-52827,-57041,-34961
 "55000","Wisconsin",3,SAGDP5N,39,"483","   Water transportation ","Thousands of dollars",-27,-14,-11,-532,-542,-7
 "55000","Wisconsin",3,SAGDP5N,40,"484","   Truck transportation ","Thousands of dollars",0,0,0,-218251,-58855,-708
 "55000","Wisconsin",3,SAGDP5N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",0,0,0,-23351,-40644,-283
 "55000","Wisconsin",3,SAGDP5N,42,"486","   Pipeline transportation ","Thousands of dollars",0,0,0,-277,-195,0
 "55000","Wisconsin",3,SAGDP5N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",0,0,0,-56077,-15762,-126
 "55000","Wisconsin",3,SAGDP5N,44,"493","   Warehousing and storage ","Thousands of dollars",0,0,0,-8371,-3556,-18
 "55000","Wisconsin",3,SAGDP5N,45,"51","  Information ","Thousands of dollars",-97,-44,-52,-98423,-64971,-1012
