GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "56000","Wyoming",7,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-94809,-88032,-93221,-1182671,-937813,-238544
 "56000","Wyoming",7,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-80314,-67276,-73697,-1153942,-906213,-201008
 "56000","Wyoming",7,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-42391,-30830,-38145,-211794,-169780,-134483
 "56000","Wyoming",7,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-42391,-30830,-38145,-207782,-167189,-134478
 "56000","Wyoming",7,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,-4012,-2591,-5
 "56000","Wyoming",7,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,-103088,-78402,-310
 "56000","Wyoming",7,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,-11115,-20443,-24
 "56000","Wyoming",7,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,-29867,-759,-113
 "56000","Wyoming",7,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,-62105,-57200,-173
 "56000","Wyoming",7,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,-4459,-2953,0
 "56000","Wyoming",7,SAGDP5N,11,"23","  Construction ","Thousands of dollars",0,0,0,-177364,-101172,-173
 "56000","Wyoming",7,SAGDP5N,12,"31-33","  Manufacturing ","Thousands of dollars",-116,-129,-183,-86364,-55294,-256
 "56000","Wyoming",7,SAGDP5N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",-75,-91,-154,-69439,-32648,-207
 "56000","Wyoming",7,SAGDP5N,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,-5745,-799,-1
 "56000","Wyoming",7,SAGDP5N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,-1823,-361,0
 "56000","Wyoming",7,SAGDP5N,16,"331","    Primary metal manufacturing ","Thousands of dollars",0,0,0,-614,-485,0
 "56000","Wyoming",7,SAGDP5N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",0,0,0,-31291,-15411,-5
 "56000","Wyoming",7,SAGDP5N,18,"333","    Machinery manufacturing ","Thousands of dollars",0,0,0,-16223,-4027,-1
 "56000","Wyoming",7,SAGDP5N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",0,0,0,-668,-431,0
 "56000","Wyoming",7,SAGDP5N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",-75,-91,-154,-4279,-3705,-200
 "56000","Wyoming",7,SAGDP5N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",0,0,0,-856,-1437,0
 "56000","Wyoming",7,SAGDP5N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",0,0,0,-1740,-929,0
