GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "98000","Far West",8,SAGDP6N,1,"...","All industry total ","Thousands of dollars",254538535,277719184,307615448,297506536,331048232,363509301
 "98000","Far West",8,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",254518925,277698933,307591704,297482978,331024166,363482095
 "98000","Far West",8,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",2014552,2147076,2225249,2258383,2552353,2992012
 "98000","Far West",8,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",1232679,1224034,1280699,1355219,1412875,1570004
 "98000","Far West",8,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",781874,923042,944550,903164,1139477,1422008
 "98000","Far West",8,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",3241342,3836869,3445524,2974972,3729858,4724551
 "98000","Far West",8,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",2539497,2989280,2643179,2138916,2502234,3135760
 "98000","Far West",8,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",538678,704327,646982,658948,1055635,1413404
 "98000","Far West",8,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",163167,143263,155363,177108,171989,175387
 "98000","Far West",8,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",10801023,11069433,11597461,12043208,12321288,13704183
 "98000","Far West",8,SAGDP6N,11,"23","  Construction ","Thousands of dollars",2442448,2717469,3042777,3204163,3546405,3739414
 "98000","Far West",8,SAGDP6N,12,"31-33","  Manufacturing ","Thousands of dollars",14018485,14691837,15486734,16238271,17123123,17970370
 "98000","Far West",8,SAGDP6N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",6056736,6498867,6994631,7512186,8197440,8790425
 "98000","Far West",8,SAGDP6N,14,"321","    Wood product manufacturing ","Thousands of dollars",143982,153261,165061,171966,184606,193261
 "98000","Far West",8,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",195682,211639,225844,233009,241901,261133
 "98000","Far West",8,SAGDP6N,16,"331","    Primary metal manufacturing ","Thousands of dollars",237242,252057,272891,270806,270770,279668
 "98000","Far West",8,SAGDP6N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",401909,423618,465969,465242,468004,511019
 "98000","Far West",8,SAGDP6N,18,"333","    Machinery manufacturing ","Thousands of dollars",426220,443949,488754,525808,578516,603010
 "98000","Far West",8,SAGDP6N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",3165899,3399225,3616968,3982702,4444986,4749310
 "98000","Far West",8,SAGDP6N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",140616,170977,195282,203484,224112,239888
 "98000","Far West",8,SAGDP6N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",207721,234495,259171,352690,402113,436586
 "98000","Far West",8,SAGDP6N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",747229,797893,824114,841360,877832,971047
 "98000","Far West",8,SAGDP6N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",52002,53841,59207,60365,62839,68135
 "98000","Far West",8,SAGDP6N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",338235,357912,421371,404756,441761,477368
 "98000","Far West",8,SAGDP6N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",7961749,8192970,8492103,8726085,8925683,9179945
 "98000","Far West",8,SAGDP6N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",4243147,4392981,4552453,4587507,4724969,4872612
 "98000","Far West",8,SAGDP6N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",54222,61964,71730,76298,77734,84910
 "98000","Far West",8,SAGDP6N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",76466,78469,85990,90248,96943,102036
 "98000","Far West",8,SAGDP6N,29,"322","    Paper manufacturing ","Thousands of dollars",173564,182194,199630,208195,217351,232501
 "98000","Far West",8,SAGDP6N,30,"323","    Printing and related support activities ","Thousands of dollars",96264,98063,108000,108339,113125,120833
