GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "17000","Illinois",3,SAGDP6N,1,"...","All industry total ","Thousands of dollars",64249195,67304222,68906174,67431958,75310670,81314452
 "17000","Illinois",3,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",64247935,67302913,68904859,67430627,75309316,81312938
 "17000","Illinois",3,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",497165,494485,514798,544814,567962,630382
 "17000","Illinois",3,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",474933,471429,492524,521489,543354,603482
 "17000","Illinois",3,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",22232,23056,22274,23325,24608,26900
 "17000","Illinois",3,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",255804,250454,272339,235958,286695,314089
 "17000","Illinois",3,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",73318,71404,102166,88301,125319,140834
 "17000","Illinois",3,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",166652,166277,156547,134477,145929,157429
 "17000","Illinois",3,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",15834,12773,13626,13180,15447,15826
 "17000","Illinois",3,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",3336775,3361739,3485414,3422830,3453609,3753988
 "17000","Illinois",3,SAGDP6N,11,"23","  Construction ","Thousands of dollars",309656,305373,318919,327445,389968,409091
 "17000","Illinois",3,SAGDP6N,12,"31-33","  Manufacturing ","Thousands of dollars",3974359,4025615,3971964,3898602,4119523,4400639
 "17000","Illinois",3,SAGDP6N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",1422961,1448350,1468212,1420915,1447031,1579863
 "17000","Illinois",3,SAGDP6N,14,"321","    Wood product manufacturing ","Thousands of dollars",16338,16936,17585,17591,19035,20376
 "17000","Illinois",3,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",74528,72511,71163,74391,79911,82163
 "17000","Illinois",3,SAGDP6N,16,"331","    Primary metal manufacturing ","Thousands of dollars",150560,157285,164213,162247,178761,188028
 "17000","Illinois",3,SAGDP6N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",231671,227666,235838,223309,234734,261251
 "17000","Illinois",3,SAGDP6N,18,"333","    Machinery manufacturing ","Thousands of dollars",323440,329914,329641,318998,318015,360199
 "17000","Illinois",3,SAGDP6N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",215109,220426,211091,202073,204899,220414
 "17000","Illinois",3,SAGDP6N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",79845,79702,78419,82415,84883,90003
 "17000","Illinois",3,SAGDP6N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",167706,182446,188513,181043,168699,184640
 "17000","Illinois",3,SAGDP6N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",21217,24651,23304,27670,30230,34498
 "17000","Illinois",3,SAGDP6N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",14640,14694,14645,14478,15039,16202
 "17000","Illinois",3,SAGDP6N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",127909,122120,133801,116700,112826,122089
 "17000","Illinois",3,SAGDP6N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",2551398,2577265,2503751,2477687,2672492,2820776
 "17000","Illinois",3,SAGDP6N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",577394,542437,541541,539324,571807,582445
 "17000","Illinois",3,SAGDP6N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",11045,11029,11491,11676,13364,16103
 "17000","Illinois",3,SAGDP6N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",10390,11293,11713,12208,12849,13686
 "17000","Illinois",3,SAGDP6N,29,"322","    Paper manufacturing ","Thousands of dollars",103196,102949,106586,101165,108844,120942
 "17000","Illinois",3,SAGDP6N,30,"323","    Printing and related support activities ","Thousands of dollars",55818,60050,57275,58645,61428,64572
 "17000","Illinois",3,SAGDP6N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",248979,252085,258549,265057,297594,311155
 "17000","Illinois",3,SAGDP6N,32,"325","    Chemical manufacturing ","Thousands of dollars",1391835,1434931,1336300,1336421,1424621,1515501
 "17000","Illinois",3,SAGDP6N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",152741,162490,180295,153192,181985,196373
 "17000","Illinois",3,SAGDP6N,34,"42","  Wholesale trade ","Thousands of dollars",9252505,10157880,11521464,10893147,13619021,14522246
 "17000","Illinois",3,SAGDP6N,35,"44-45","  Retail trade ","Thousands of dollars",10340986,10834527,10636134,10924687,12489983,13801692
 "17000","Illinois",3,SAGDP6N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",2368545,2496550,2631112,1777120,2310086,2803107
 "17000","Illinois",3,SAGDP6N,37,"481","   Air transportation ","Thousands of dollars",1647485,1760074,1868439,1020821,1447070,1894623
 "17000","Illinois",3,SAGDP6N,38,"482","   Rail transportation ","Thousands of dollars",150443,158370,155096,148324,163734,167660
 "17000","Illinois",3,SAGDP6N,39,"483","   Water transportation ","Thousands of dollars",28821,32779,35445,30357,37817,42340
 "17000","Illinois",3,SAGDP6N,40,"484","   Truck transportation ","Thousands of dollars",228436,229673,240122,245887,298940,312387
 "17000","Illinois",3,SAGDP6N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",44891,41740,41188,42407,51394,54780
 "17000","Illinois",3,SAGDP6N,42,"486","   Pipeline transportation ","Thousands of dollars",95992,94227,94873,97916,102764,104578
 "17000","Illinois",3,SAGDP6N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",121555,121961,150850,148535,162814,177623
 "17000","Illinois",3,SAGDP6N,44,"493","   Warehousing and storage ","Thousands of dollars",50922,57725,45099,42873,45553,49115
 "17000","Illinois",3,SAGDP6N,45,"51","  Information ","Thousands of dollars",2247001,2221836,2263351,2034734,2064902,2278401
 "17000","Illinois",3,SAGDP6N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",168696,157060,165761,165145,168085,186342
 "17000","Illinois",3,SAGDP6N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",285590,276338,259505,90046,115392,128037
