GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "41000","Oregon",8,SAGDP6N,1,"...","All industry total ","Thousands of dollars",11720961,12500445,13731864,13796594,16223254,17208927
 "41000","Oregon",8,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",11720961,12500445,13731864,13796594,16223254,17208927
 "41000","Oregon",8,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",267981,282761,287615,299752,347366,389256
 "41000","Oregon",8,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",149220,148138,154847,163920,170828,189766
 "41000","Oregon",8,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",118761,134623,132768,135831,176538,199490
 "41000","Oregon",8,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",30745,33171,34138,36807,48453,48499
 "41000","Oregon",8,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,124,140,138,169,159
 "41000","Oregon",8,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",28104,30364,31365,33790,44877,44644
 "41000","Oregon",8,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",2641,2683,2633,2879,3406,3696
 "41000","Oregon",8,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",526088,537881,592499,626011,734388,802141
 "41000","Oregon",8,SAGDP6N,11,"23","  Construction ","Thousands of dollars",256689,261252,300180,325786,365854,387818
 "41000","Oregon",8,SAGDP6N,12,"31-33","  Manufacturing ","Thousands of dollars",1308986,1370767,1442094,1433184,1774306,1923730
 "41000","Oregon",8,SAGDP6N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",803111,846428,912043,912851,1172497,1294157
 "41000","Oregon",8,SAGDP6N,14,"321","    Wood product manufacturing ","Thousands of dollars",66718,69701,75028,77407,83659,84520
 "41000","Oregon",8,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",26574,27485,29121,29843,33681,36681
 "41000","Oregon",8,SAGDP6N,16,"331","    Primary metal manufacturing ","Thousands of dollars",82781,91551,99051,92742,91144,97992
 "41000","Oregon",8,SAGDP6N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",50423,52101,60240,61705,70130,74429
 "41000","Oregon",8,SAGDP6N,18,"333","    Machinery manufacturing ","Thousands of dollars",63636,68397,76870,82801,109091,114904
 "41000","Oregon",8,SAGDP6N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",408030,429324,449436,445884,613894,704143
 "41000","Oregon",8,SAGDP6N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",11351,10379,11142,11331,13215,14001
 "41000","Oregon",8,SAGDP6N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",24959,25892,28128,29085,32568,34954
 "41000","Oregon",8,SAGDP6N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",30572,32292,37492,36384,68340,70683
 "41000","Oregon",8,SAGDP6N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",10285,10622,12118,12541,12755,13254
 "41000","Oregon",8,SAGDP6N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",27781,28685,33417,33127,44020,48595
 "41000","Oregon",8,SAGDP6N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",505875,524339,530051,520334,601809,629573
 "41000","Oregon",8,SAGDP6N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",331216,341935,328400,308456,366789,383942
 "41000","Oregon",8,SAGDP6N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",2921,2883,3418,3303,3477,3610
 "41000","Oregon",8,SAGDP6N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",3604,3850,4629,5537,5566,5809
 "41000","Oregon",8,SAGDP6N,29,"322","    Paper manufacturing ","Thousands of dollars",34412,33566,37578,40993,40430,42012
 "41000","Oregon",8,SAGDP6N,30,"323","    Printing and related support activities ","Thousands of dollars",13934,14079,15576,15956,15956,17042
 "41000","Oregon",8,SAGDP6N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",16609,16912,16599,18286,26640,35059
 "41000","Oregon",8,SAGDP6N,32,"325","    Chemical manufacturing ","Thousands of dollars",85136,90935,99599,102225,116387,119952
 "41000","Oregon",8,SAGDP6N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",18041,20180,24251,25578,26564,22146
 "41000","Oregon",8,SAGDP6N,34,"42","  Wholesale trade ","Thousands of dollars",1994528,2193595,2534551,2271586,2963733,3040205
 "41000","Oregon",8,SAGDP6N,35,"44-45","  Retail trade ","Thousands of dollars",433005,453672,517477,549550,620930,672108
 "41000","Oregon",8,SAGDP6N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",640837,694705,739193,563184,697500,831075
 "41000","Oregon",8,SAGDP6N,37,"481","   Air transportation ","Thousands of dollars",298763,323670,344427,163611,251091,342897
 "41000","Oregon",8,SAGDP6N,38,"482","   Rail transportation ","Thousands of dollars",19039,19365,18941,18620,24504,24937
 "41000","Oregon",8,SAGDP6N,39,"483","   Water transportation ","Thousands of dollars",9023,8694,9113,8536,7925,7818
 "41000","Oregon",8,SAGDP6N,40,"484","   Truck transportation ","Thousands of dollars",78144,80161,87305,92984,106757,109468
 "41000","Oregon",8,SAGDP6N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",163587,187405,192462,182703,204890,240313
 "41000","Oregon",8,SAGDP6N,42,"486","   Pipeline transportation ","Thousands of dollars",5725,5857,6167,7257,7717,7721
 "41000","Oregon",8,SAGDP6N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",56273,58269,65383,71614,77229,81234
 "41000","Oregon",8,SAGDP6N,44,"493","   Warehousing and storage ","Thousands of dollars",10284,11283,15396,17859,17388,16687
 "41000","Oregon",8,SAGDP6N,45,"51","  Information ","Thousands of dollars",324590,328523,360496,363095,523738,572236
 "41000","Oregon",8,SAGDP6N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",105929,107925,118460,119133,202258,217183
