GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "49000","Utah",7,SAGDP6N,1,"...","All industry total ","Thousands of dollars",10068011,10692435,11426423,11730738,13148557,14414827
 "49000","Utah",7,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",10064019,10688119,11421422,11725052,13142275,14407525
 "49000","Utah",7,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",42777,43039,44614,47286,48816,53568
 "49000","Utah",7,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",37057,36741,38204,40527,42146,46736
 "49000","Utah",7,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",5720,6298,6410,6759,6670,6833
 "49000","Utah",7,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",289585,306753,300095,321881,330142,430684
 "49000","Utah",7,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",178278,180869,169472,174941,167113,239309
 "49000","Utah",7,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",86955,105495,109731,121368,132960,157818
 "49000","Utah",7,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",24352,20389,20892,25572,30069,33557
 "49000","Utah",7,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",426907,462705,484336,473658,457709,508607
 "49000","Utah",7,SAGDP6N,11,"23","  Construction ","Thousands of dollars",98820,104284,113416,126832,137927,145223
 "49000","Utah",7,SAGDP6N,12,"31-33","  Manufacturing ","Thousands of dollars",552074,554423,585593,594093,628748,664302
 "49000","Utah",7,SAGDP6N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",249682,252144,285541,279764,296593,307548
 "49000","Utah",7,SAGDP6N,14,"321","    Wood product manufacturing ","Thousands of dollars",4629,4820,5456,5957,6722,7581
 "49000","Utah",7,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",19446,19083,20448,20747,22238,24979
 "49000","Utah",7,SAGDP6N,16,"331","    Primary metal manufacturing ","Thousands of dollars",24602,22479,24908,27709,26468,27222
 "49000","Utah",7,SAGDP6N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",30333,29721,37251,34000,35051,39001
 "49000","Utah",7,SAGDP6N,18,"333","    Machinery manufacturing ","Thousands of dollars",14845,15280,17241,17451,17896,19450
 "49000","Utah",7,SAGDP6N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",62753,63311,68384,66160,63763,61422
 "49000","Utah",7,SAGDP6N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",4833,5072,5643,5230,4821,6260
 "49000","Utah",7,SAGDP6N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",17896,18263,19534,18324,18343,19398
 "49000","Utah",7,SAGDP6N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",20231,21785,23820,27132,34632,37833
 "49000","Utah",7,SAGDP6N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",4021,4213,4744,5799,6716,5952
 "49000","Utah",7,SAGDP6N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",46093,48116,58112,51254,59943,58450
 "49000","Utah",7,SAGDP6N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",302392,302279,300052,314329,332155,356754
 "49000","Utah",7,SAGDP6N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",102551,98281,92468,96049,104153,107861
 "49000","Utah",7,SAGDP6N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",2235,2474,2958,2907,2608,3271
 "49000","Utah",7,SAGDP6N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",885,955,1106,1218,1358,1445
 "49000","Utah",7,SAGDP6N,29,"322","    Paper manufacturing ","Thousands of dollars",8559,9996,10950,12002,12751,12873
 "49000","Utah",7,SAGDP6N,30,"323","    Printing and related support activities ","Thousands of dollars",6342,6252,7086,7675,8198,8892
 "49000","Utah",7,SAGDP6N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",47860,49257,54225,59258,61688,71384
 "49000","Utah",7,SAGDP6N,32,"325","    Chemical manufacturing ","Thousands of dollars",124931,123791,118329,120903,125133,133471
 "49000","Utah",7,SAGDP6N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",9030,11273,12930,14316,16268,17557
 "49000","Utah",7,SAGDP6N,34,"42","  Wholesale trade ","Thousands of dollars",1647298,1800546,1892896,1739591,2175219,2230785
 "49000","Utah",7,SAGDP6N,35,"44-45","  Retail trade ","Thousands of dollars",2328910,2410773,2672187,2993571,3600515,4123404
 "49000","Utah",7,SAGDP6N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",580173,622303,648707,425754,555536,700852
 "49000","Utah",7,SAGDP6N,37,"481","   Air transportation ","Thousands of dollars",382743,414276,452762,221908,330595,461202
 "49000","Utah",7,SAGDP6N,38,"482","   Rail transportation ","Thousands of dollars",10128,10115,9853,9980,10000,9651
 "49000","Utah",7,SAGDP6N,39,"483","   Water transportation ","Thousands of dollars",209,457,856,619,683,951
 "49000","Utah",7,SAGDP6N,40,"484","   Truck transportation ","Thousands of dollars",45010,47446,49330,50101,50833,52098
 "49000","Utah",7,SAGDP6N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",103998,108344,90881,93726,112791,120861
 "49000","Utah",7,SAGDP6N,42,"486","   Pipeline transportation ","Thousands of dollars",13890,15474,16657,17953,18403,22552
 "49000","Utah",7,SAGDP6N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",17015,19227,21580,24883,26091,27190
 "49000","Utah",7,SAGDP6N,44,"493","   Warehousing and storage ","Thousands of dollars",7181,6964,6789,6584,6139,6347
 "49000","Utah",7,SAGDP6N,45,"51","  Information ","Thousands of dollars",505284,527088,573979,600860,631959,639384
 "49000","Utah",7,SAGDP6N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",60933,65052,74977,77658,82725,89877
 "49000","Utah",7,SAGDP6N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",32971,32863,33415,32190,35158,40449
 "49000","Utah",7,SAGDP6N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",377060,394039,425386,448114,472348,466771
 "49000","Utah",7,SAGDP6N,49,"518-519","   Data processing, hosting, and other information services ","Thousands of dollars",34320,35134,40202,42899,41728,42287
 "49000","Utah",7,SAGDP6N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",1908458,2129758,2244276,2519329,2530666,2691201
 "49000","Utah",7,SAGDP6N,51,"52","   Finance and insurance ","Thousands of dollars",374960,500963,441339,569220,478931,501520
 "49000","Utah",7,SAGDP6N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Thousands of dollars",149218,159300,174737,192282,196500,194523
 "49000","Utah",7,SAGDP6N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Thousands of dollars",9312,10044,12019,13201,13658,14559
 "49000","Utah",7,SAGDP6N,54,"524","    Insurance carriers and related activities ","Thousands of dollars",200430,316837,239540,350887,256080,278476
 "49000","Utah",7,SAGDP6N,55,"525","    Funds, trusts, and other financial vehicles ","Thousands of dollars",15999,14781,15043,12849,12693,13961
 "49000","Utah",7,SAGDP6N,56,"53","   Real estate and rental and leasing ","Thousands of dollars",1533498,1628796,1802937,1950108,2051735,2189681
 "49000","Utah",7,SAGDP6N,57,"531","    Real estate ","Thousands of dollars",1309016,1395331,1554525,1693244,1761775,1866765
 "49000","Utah",7,SAGDP6N,58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets ","Thousands of dollars",224482,233464,248412,256865,289960,322916
 "49000","Utah",7,SAGDP6N,59,"54,55,56","  Professional and business services ","Thousands of dollars",209943,223737,267668,285740,292222,317546
 "49000","Utah",7,SAGDP6N,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",119711,132272,167129,177608,183367,201934
 "49000","Utah",7,SAGDP6N,61,"5411","    Legal services ","Thousands of dollars",4324,4366,5181,5629,5242,5577
 "49000","Utah",7,SAGDP6N,62,"5415","    Computer systems design and related services ","Thousands of dollars",35901,39442,46776,54924,55827,71438
 "49000","Utah",7,SAGDP6N,63,"5412-5414,5416-5419","    Miscellaneous professional, scientific, and technical services ","Thousands of dollars",79486,88464,115172,117055,122299,124918
 "49000","Utah",7,SAGDP6N,64,"55","   Management of companies and enterprises ","Thousands of dollars",30351,30114,32816,35345,33731,34894
 "49000","Utah",7,SAGDP6N,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",59880,61351,67724,72787,75124,80719
 "49000","Utah",7,SAGDP6N,66,"561","    Administrative and support services ","Thousands of dollars",39552,40960,48101,51937,52778,56405
 "49000","Utah",7,SAGDP6N,67,"562","    Waste management and remediation services ","Thousands of dollars",20329,20391,19623,20850,22346,24314
 "49000","Utah",7,SAGDP6N,68,"61,62","  Educational services, health care, and social assistance ","Thousands of dollars",253152,261236,280264,293658,302485,316701
 "49000","Utah",7,SAGDP6N,69,"61","   Educational services ","Thousands of dollars",75818,79861,91012,99776,102753,103345
 "49000","Utah",7,SAGDP6N,70,"62","   Health care and social assistance ","Thousands of dollars",177334,181375,189252,193882,199732,213356
 "49000","Utah",7,SAGDP6N,71,"621","    Ambulatory health care services ","Thousands of dollars",40512,41240,44848,47098,48423,51982
 "49000","Utah",7,SAGDP6N,72,"622","    Hospitals ","Thousands of dollars",89505,90690,94363,96617,98136,104611
 "49000","Utah",7,SAGDP6N,73,"623","    Nursing and residential care facilities ","Thousands of dollars",42425,44329,44186,44105,47259,50580
 "49000","Utah",7,SAGDP6N,74,"624","    Social assistance ","Thousands of dollars",4892,5116,5855,6062,5914,6184
 "49000","Utah",7,SAGDP6N,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Thousands of dollars",986147,1002682,1046598,1009744,1129501,1234947
 "49000","Utah",7,SAGDP6N,76,"71","   Arts, entertainment, and recreation ","Thousands of dollars",234596,233491,244534,241045,275804,313072
 "49000","Utah",7,SAGDP6N,77,"711-712","    Performing arts, spectator sports, museums, and related activities ","Thousands of dollars",24286,25297,27908,26566,29479,32409
 "49000","Utah",7,SAGDP6N,78,"713","    Amusement, gambling, and recreation industries ","Thousands of dollars",210310,208194,216626,214479,246325,280663
 "49000","Utah",7,SAGDP6N,79,"72","   Accommodation and food services ","Thousands of dollars",751552,769190,802063,768699,853697,921875
 "49000","Utah",7,SAGDP6N,80,"721","    Accommodation ","Thousands of dollars",334423,348212,365560,324812,382188,424474
 "49000","Utah",7,SAGDP6N,81,"722","    Food services and drinking places ","Thousands of dollars",417129,420979,436503,443887,471509,497401
 "49000","Utah",7,SAGDP6N,82,"81","  Other services (except government and government enterprises) ","Thousands of dollars",234491,238791,266794,293054,320832,350321
 "49000","Utah",7,SAGDP6N,83,"92"," Government and government enterprises ","Thousands of dollars",3992,4316,5001,5686,6282,7302
 "49000","Utah",7,SAGDP6N,84,"...","  Federal civilian ","Thousands of dollars",0,0,0,0,0,0
 "49000","Utah",7,SAGDP6N,85,"...","  Military ","Thousands of dollars",0,0,0,0,0,0
 "49000","Utah",7,SAGDP6N,86,"...","  State and local ","Thousands of dollars",3992,4316,5001,5686,6282,7302
 "49000","Utah",7,SAGDP6N,87,"11,21","Natural resources and mining ","Thousands of dollars",332362,349792,344708,369168,378957,484253
 "49000","Utah",7,SAGDP6N,88,"42,44-45","Trade ","Thousands of dollars",3976209,4211319,4565083,4733162,5775734,6354188
 "49000","Utah",7,SAGDP6N,89,"22,48-49","Transportation and utilities ","Thousands of dollars",1007080,1085008,1133043,899412,1013244,1209459
 "49000","Utah",7,SAGDP6N,90,"31-33,51","Manufacturing and information ","Thousands of dollars",1057358,1081511,1159572,1194953,1260707,1303686
 "49000","Utah",7,SAGDP6N,91,"...","Private goods-producing industries 2/","Thousands of dollars",983256,1008500,1043717,1090093,1145632,1293778
 "49000","Utah",7,SAGDP6N,92,"...","Private services-providing industries 3/","Thousands of dollars",9080763,9679620,10377705,10634959,11996643,13113747
"Note: See the included footnote file."
"SAGDP6N: Taxes on production and imports 1/"
"Last updated: September 29, 2023-- new statistics for 2022; revised statistics for 2017-2021."
"U.S. Bureau of Economic Analysis"
