GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "04000","Arizona",6,SAGDP7N,1,"...","All industry total ","Thousands of dollars",130081714,137161268,147056410,160922823,179853597,194428253
 "04000","Arizona",6,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",119847707,126959547,136062826,149741369,166796969,179863691
 "04000","Arizona",6,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1282426,1159334,1423273,873990,776883,1413986
 "04000","Arizona",6,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",1150980,1031719,1284371,724592,649459,1293361
 "04000","Arizona",6,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",131446,127615,138902,149398,127424,120625
 "04000","Arizona",6,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2983123,2608222,2479433,3459298,5818784,4922721
 "04000","Arizona",6,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",8525,7048,1879,3924,7218,11465
 "04000","Arizona",6,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",2950621,2528540,2432096,3406628,5765140,4863401
 "04000","Arizona",6,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",23977,72634,45458,48746,46426,47855
 "04000","Arizona",6,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",3884604,4058177,4437709,5035255,5637089,5638666
 "04000","Arizona",6,SAGDP7N,11,"23","  Construction ","Thousands of dollars",5530911,6225122,7017915,9898523,9503252,9836416
 "04000","Arizona",6,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",9817524,11328848,13200402,14590626,15980888,17549414
 "04000","Arizona",6,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",7782651,9238488,10793304,11908258,12745514,14118474
 "04000","Arizona",6,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",39124,16305,60172,82270,136075,102804
 "04000","Arizona",6,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",407675,421579,472459,606829,659241,697805
 "04000","Arizona",6,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",454164,571239,646985,692713,822611,1142954
 "04000","Arizona",6,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",320137,285528,489696,654664,430283,564656
 "04000","Arizona",6,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",231749,305329,300561,417784,391611,536873
 "04000","Arizona",6,SAGDP7N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",2759576,3393868,3391583,3574735,4148908,4142265
 "04000","Arizona",6,SAGDP7N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",224532,325578,420374,359182,346486,442129
 "04000","Arizona",6,SAGDP7N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",230497,230005,371131,545069,479254,540868
 "04000","Arizona",6,SAGDP7N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",2464534,2969262,3798464,3817204,4014101,4598979
 "04000","Arizona",6,SAGDP7N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",88665,114365,117562,201531,132418,121174
 "04000","Arizona",6,SAGDP7N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",561997,605430,724316,956278,1184526,1227967
 "04000","Arizona",6,SAGDP7N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",2034873,2090360,2407098,2682368,3235374,3430940
