GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "15000","Hawaii",8,SAGDP7N,1,"...","All industry total ","Thousands of dollars",31789468,33134535,33884845,31951171,36625116,36771272
 "15000","Hawaii",8,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",29023269,30452418,31295484,29448427,33854312,33760423
 "15000","Hawaii",8,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",201946,165432,122140,163882,(D),189003
 "15000","Hawaii",8,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",169094,137573,96121,139833,173365,165580
 "15000","Hawaii",8,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",32852,27859,26019,24049,(D),23423
 "15000","Hawaii",8,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",25897,38166,30380,39904,48660,47941
 "15000","Hawaii",8,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,(D),(D),0,0
 "15000","Hawaii",8,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",(D),(D),30270,(D),(D),(D)
 "15000","Hawaii",8,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",988824,976793,931462,931220,1261724,1495802
 "15000","Hawaii",8,SAGDP7N,11,"23","  Construction ","Thousands of dollars",1875468,1786296,1950466,2326616,2007488,1778279
 "15000","Hawaii",8,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",618971,728640,517946,561408,(D),750275
 "15000","Hawaii",8,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",113792,116633,129321,168945,(D),165376
 "15000","Hawaii",8,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",3791,3148,4944,(D),7402,4046
 "15000","Hawaii",8,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",57036,48081,53494,83399,73108,73460
 "15000","Hawaii",8,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",8064,7015,4989,12395,10009,9825
 "15000","Hawaii",8,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",(D),(D),(D),3999,3631,2463
 "15000","Hawaii",8,SAGDP7N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",11719,9552,14288,15881,21674,23524
 "15000","Hawaii",8,SAGDP7N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SAGDP7N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",133,189,294,473,843,105
 "15000","Hawaii",8,SAGDP7N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",(D),20487,32538,24554,35327,39118
 "15000","Hawaii",8,SAGDP7N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",3928,9494,10624,12274,8875,7649
 "15000","Hawaii",8,SAGDP7N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",10164,14753,4422,5492,8690,2632
 "15000","Hawaii",8,SAGDP7N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",505178,612006,388624,392463,492812,584900
 "15000","Hawaii",8,SAGDP7N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",55660,120982,40466,125082,136528,95542
 "15000","Hawaii",8,SAGDP7N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SAGDP7N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",(D),(D),1159,3260,3734,997
 "15000","Hawaii",8,SAGDP7N,29,"322","    Paper manufacturing ","Thousands of dollars",1025,1043,1688,2005,(D),1719
 "15000","Hawaii",8,SAGDP7N,30,"323","    Printing and related support activities ","Thousands of dollars",27331,27004,20109,13354,17085,14661
 "15000","Hawaii",8,SAGDP7N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",340752,372956,(D),(D),221108,(D)
 "15000","Hawaii",8,SAGDP7N,32,"325","    Chemical manufacturing ","Thousands of dollars",60211,78662,61397,71466,105354,113335
 "15000","Hawaii",8,SAGDP7N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",11209,5494,6463,6663,2218,3129
 "15000","Hawaii",8,SAGDP7N,34,"42","  Wholesale trade ","Thousands of dollars",829909,821458,921902,1018060,933462,977659
 "15000","Hawaii",8,SAGDP7N,35,"44-45","  Retail trade ","Thousands of dollars",1460273,1521622,1491889,1568250,1719867,1735009
 "15000","Hawaii",8,SAGDP7N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",1817817,1732056,2027836,1260829,2509200,1615156
 "15000","Hawaii",8,SAGDP7N,37,"481","   Air transportation ","Thousands of dollars",1295825,1155548,1471600,739721,1807212,761741
 "15000","Hawaii",8,SAGDP7N,38,"482","   Rail transportation ","Thousands of dollars",0,0,0,0,0,0
 "15000","Hawaii",8,SAGDP7N,39,"483","   Water transportation ","Thousands of dollars",73450,117419,96721,55435,110320,153459
 "15000","Hawaii",8,SAGDP7N,40,"484","   Truck transportation ","Thousands of dollars",66442,69728,66644,92792,121181,146601
 "15000","Hawaii",8,SAGDP7N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",142686,146058,163974,116837,138621,164438
 "15000","Hawaii",8,SAGDP7N,42,"486","   Pipeline transportation ","Thousands of dollars",28,140,41,36,20,0
 "15000","Hawaii",8,SAGDP7N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",(D),(D),224868,(D),(D),(D)
 "15000","Hawaii",8,SAGDP7N,44,"493","   Warehousing and storage ","Thousands of dollars",(D),(D),3989,(D),(D),(D)
 "15000","Hawaii",8,SAGDP7N,45,"51","  Information ","Thousands of dollars",1168646,1271045,1193232,1145583,1394109,1418430
