GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "16000","Idaho",7,SAGDP7N,1,"...","All industry total ","Thousands of dollars",28975013,32193202,34850102,38776116,41328738,46872479
 "16000","Idaho",7,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",26838106,29908247,32458942,36239714,38604290,43859537
 "16000","Idaho",7,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",2054843,2440760,2776636,3051581,2732779,4634937
 "16000","Idaho",7,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",1904981,2238370,2585222,2815006,2524665,4380746
 "16000","Idaho",7,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",149863,202390,191414,236574,208114,254191
 "16000","Idaho",7,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",268381,264756,171239,416194,677268,488712
 "16000","Idaho",7,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",2679,2172,780,657,3236,3418
 "16000","Idaho",7,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",267435,260034,170494,417846,674699,487429
 "16000","Idaho",7,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",-1733,2550,-35,-2309,-666,-2135
 "16000","Idaho",7,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",824421,770671,789976,861971,905014,1069277
 "16000","Idaho",7,SAGDP7N,11,"23","  Construction ","Thousands of dollars",1461606,1402254,1612446,2273141,2389925,2402495
 "16000","Idaho",7,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",2492676,3073292,3284753,3788538,3532072,3969390
 "16000","Idaho",7,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",1265435,1600043,1718564,1734060,1544783,1997524
 "16000","Idaho",7,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",287972,286549,285407,480021,566065,656743
 "16000","Idaho",7,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",46802,67280,30050,63060,64009,69727
 "16000","Idaho",7,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",104411,113712,117606,117921,119543,121405
 "16000","Idaho",7,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",133776,107028,273245,348202,278530,317668
 "16000","Idaho",7,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",42908,64949,40611,111027,56322,84708
 "16000","Idaho",7,SAGDP7N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",551716,868329,883644,455429,365477,648399
 "16000","Idaho",7,SAGDP7N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",28481,33268,21164,21915,10987,12502
 "16000","Idaho",7,SAGDP7N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",(D),(D),(D),(D),30194,(D)
 "16000","Idaho",7,SAGDP7N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",(D),(D),(D),(D),24121,(D)
 "16000","Idaho",7,SAGDP7N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",5862,16869,15419,30698,17267,12574
 "16000","Idaho",7,SAGDP7N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",2420,-13206,-8141,16362,12270,8982
 "16000","Idaho",7,SAGDP7N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1227241,1473249,1566189,2054478,1987290,1971866
 "16000","Idaho",7,SAGDP7N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",879239,1064049,1223771,1675628,1505040,1423330
 "16000","Idaho",7,SAGDP7N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",7102,3886,1881,(D),1717,713
 "16000","Idaho",7,SAGDP7N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",1189,709,-369,6598,6437,1794
 "16000","Idaho",7,SAGDP7N,29,"322","    Paper manufacturing ","Thousands of dollars",74253,87111,89891,98338,130360,163833
 "16000","Idaho",7,SAGDP7N,30,"323","    Printing and related support activities ","Thousands of dollars",74835,63478,46985,44617,52179,61963
 "16000","Idaho",7,SAGDP7N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",3643,3425,3994,(D),3153,6926
 "16000","Idaho",7,SAGDP7N,32,"325","    Chemical manufacturing ","Thousands of dollars",98590,168533,76822,80855,151121,189601
 "16000","Idaho",7,SAGDP7N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",88389,82057,123215,143347,137284,123706
 "16000","Idaho",7,SAGDP7N,34,"42","  Wholesale trade ","Thousands of dollars",1767779,1937643,2178065,2493917,3102186,3350149
 "16000","Idaho",7,SAGDP7N,35,"44-45","  Retail trade ","Thousands of dollars",1813091,2298198,2799528,3053804,3125108,2981528
 "16000","Idaho",7,SAGDP7N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",975306,1046238,997775,1080202,1342583,1638820
 "16000","Idaho",7,SAGDP7N,37,"481","   Air transportation ","Thousands of dollars",116743,122684,103186,44230,88297,153349
 "16000","Idaho",7,SAGDP7N,38,"482","   Rail transportation ","Thousands of dollars",212385,221580,217044,208038,249002,303865
 "16000","Idaho",7,SAGDP7N,39,"483","   Water transportation ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "16000","Idaho",7,SAGDP7N,40,"484","   Truck transportation ","Thousands of dollars",500497,536408,521243,604201,687489,824067
 "16000","Idaho",7,SAGDP7N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",11966,9669,10138,14001,18747,34140
 "16000","Idaho",7,SAGDP7N,42,"486","   Pipeline transportation ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "16000","Idaho",7,SAGDP7N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",(D),112885,111109,187853,283930,309461
 "16000","Idaho",7,SAGDP7N,44,"493","   Warehousing and storage ","Thousands of dollars",14012,20448,23177,13795,8562,7336
 "16000","Idaho",7,SAGDP7N,45,"51","  Information ","Thousands of dollars",903357,865598,1065712,1016304,1226245,1430029
 "16000","Idaho",7,SAGDP7N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",142523,134096,159754,198356,235189,(D)
 "16000","Idaho",7,SAGDP7N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",14465,13521,18852,25457,28466,37382
 "16000","Idaho",7,SAGDP7N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",543664,544984,635160,520745,603485,(D)
 "16000","Idaho",7,SAGDP7N,49,"518-519","   Data processing, hosting, and other information services ","Thousands of dollars",202705,172996,251945,271746,359106,526830
 "16000","Idaho",7,SAGDP7N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",9681567,10825061,11407023,12057474,13139311,14909809
 "16000","Idaho",7,SAGDP7N,51,"52","   Finance and insurance ","Thousands of dollars",1309281,1419991,1432654,1504967,1802923,1832258
 "16000","Idaho",7,SAGDP7N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Thousands of dollars",(D),(D),942550,919762,1070522,1095687
 "16000","Idaho",7,SAGDP7N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Thousands of dollars",2320,25780,3676,46826,17859,4412
 "16000","Idaho",7,SAGDP7N,54,"524","    Insurance carriers and related activities ","Thousands of dollars",473430,478188,492691,550736,543170,588121
 "16000","Idaho",7,SAGDP7N,55,"525","    Funds, trusts, and other financial vehicles ","Thousands of dollars",(D),(D),-6263,-12358,171371,144039
 "16000","Idaho",7,SAGDP7N,56,"53","   Real estate and rental and leasing ","Thousands of dollars",8372286,9405070,9974368,10552508,11336388,13077551
 "16000","Idaho",7,SAGDP7N,57,"531","    Real estate ","Thousands of dollars",8117059,8999870,9544395,10082482,10910043,12494705
 "16000","Idaho",7,SAGDP7N,58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets ","Thousands of dollars",255227,405200,429973,470026,426345,582846
 "16000","Idaho",7,SAGDP7N,59,"54,55,56","  Professional and business services ","Thousands of dollars",1919741,2133854,2342464,2875688,2790463,2910042
