GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "17000","Illinois",3,SAGDP7N,1,"...","All industry total ","Thousands of dollars",318234077,334381507,345489775,335940638,374469002,396619873
 "17000","Illinois",3,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",304917829,320873825,330982098,321547875,359656283,379802327
 "17000","Illinois",3,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",5138626,6143157,5129150,7053943,11397744,14491562
 "17000","Illinois",3,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",4957648,5967152,4918089,6783734,11083928,14168062
 "17000","Illinois",3,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",180977,176005,211061,270209,313817,323499
 "17000","Illinois",3,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",849292,934700,689854,463394,657024,1279373
 "17000","Illinois",3,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",20223,32859,-16807,10188,35873,64766
 "17000","Illinois",3,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",812384,871742,676066,435979,592909,1195321
 "17000","Illinois",3,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",16684,30098,30595,17227,28241,19286
 "17000","Illinois",3,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",6281051,6691815,7048083,7770276,9813771,11320943
 "17000","Illinois",3,SAGDP7N,11,"23","  Construction ","Thousands of dollars",10933115,9885857,10357824,11951040,12885003,11264665
 "17000","Illinois",3,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",42562033,49979965,47901165,44475339,53299797,62033211
 "17000","Illinois",3,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",16736989,17623105,18826784,18276859,17257821,20757388
 "17000","Illinois",3,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",81106,151711,193671,203461,274402,225765
 "17000","Illinois",3,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",956324,1012761,968497,1193617,1181571,1166940
 "17000","Illinois",3,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",451735,679959,516951,755750,1870415,2614499
 "17000","Illinois",3,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",3296566,3263991,3230002,3748077,2779580,3169873
 "17000","Illinois",3,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",4780652,5406565,5725065,4669185,4730155,6706410
 "17000","Illinois",3,SAGDP7N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",2033593,2443000,2702148,2143905,1790406,1701133
 "17000","Illinois",3,SAGDP7N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",1597991,1423193,1387218,1388952,1217176,1445578
 "17000","Illinois",3,SAGDP7N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",1505165,1459277,1843311,1620511,994768,1164293
 "17000","Illinois",3,SAGDP7N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",237976,223849,199943,170293,177760,253128
 "17000","Illinois",3,SAGDP7N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",263336,264009,346947,399604,258188,253409
 "17000","Illinois",3,SAGDP7N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",1532546,1294791,1713031,1983504,1983398,2056359
 "17000","Illinois",3,SAGDP7N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",25825043,32356861,29074381,26198480,36041976,41275824
 "17000","Illinois",3,SAGDP7N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",5545990,5297946,5243596,5568724,6455203,5849984
 "17000","Illinois",3,SAGDP7N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",15774,8214,18780,43107,61713,45207
 "17000","Illinois",3,SAGDP7N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",96211,114594,160927,157489,148667,170472
 "17000","Illinois",3,SAGDP7N,29,"322","    Paper manufacturing ","Thousands of dollars",495469,448173,374687,490205,323740,353435
 "17000","Illinois",3,SAGDP7N,30,"323","    Printing and related support activities ","Thousands of dollars",790312,853765,821600,820258,1013653,987456
 "17000","Illinois",3,SAGDP7N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",4264103,7203824,6236475,1287847,4015279,6290637
 "17000","Illinois",3,SAGDP7N,32,"325","    Chemical manufacturing ","Thousands of dollars",12424342,16038319,13612651,15833872,22376260,25489497
 "17000","Illinois",3,SAGDP7N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",2192843,2392026,2605665,1996979,1647462,2089136
 "17000","Illinois",3,SAGDP7N,34,"42","  Wholesale trade ","Thousands of dollars",25519599,25565631,26933935,30250022,30686956,33218851
 "17000","Illinois",3,SAGDP7N,35,"44-45","  Retail trade ","Thousands of dollars",10871643,11519018,12214202,14940623,16635017,17225453
 "17000","Illinois",3,SAGDP7N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",11452432,12254330,12707198,11984140,15478045,16987240
 "17000","Illinois",3,SAGDP7N,37,"481","   Air transportation ","Thousands of dollars",2869538,2542654,2514787,623123,1774322,2277845
