GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "35000","New Mexico",6,SAGDP7N,1,"...","All industry total ","Thousands of dollars",37839984,40158385,41839542,41438530,47577864,54106028
 "35000","New Mexico",6,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",29166647,31150047,32555412,31694087,37201611,42829795
 "35000","New Mexico",6,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1032947,974016,1037552,1047602,995741,1564092
 "35000","New Mexico",6,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",987301,927659,990363,996552,949238,1522352
 "35000","New Mexico",6,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",45646,46357,47188,51051,46504,41740
 "35000","New Mexico",6,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",2958042,3924031,4162851,2508236,5631325,9669484
 "35000","New Mexico",6,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",1408092,1993603,2220630,1073893,3931068,7668494
 "35000","New Mexico",6,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",809568,610980,687199,691260,858033,1064125
 "35000","New Mexico",6,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",740383,1319448,1255022,743084,842225,936864
 "35000","New Mexico",6,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",871169,822645,871134,917465,1138617,1084847
 "35000","New Mexico",6,SAGDP7N,11,"23","  Construction ","Thousands of dollars",997372,991544,1081448,1443963,1298465,1108891
 "35000","New Mexico",6,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",1593461,1843684,2098673,1646978,1783190,1827467
 "35000","New Mexico",6,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",495434,558777,533103,594579,673885,639264
 "35000","New Mexico",6,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",13891,11926,-2509,-9937,-13868,-17234
 "35000","New Mexico",6,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",101027,75675,64321,75527,105496,97424
 "35000","New Mexico",6,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",15299,19286,24285,28131,36263,31897
