GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "40000","Oklahoma",6,SAGDP7N,1,"...","All industry total ","Thousands of dollars",83972351,89843968,86844884,82547344,99224345,111039953
 "40000","Oklahoma",6,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",76500495,81928603,78986228,73515340,89331049,99981266
 "40000","Oklahoma",6,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",2457375,2521568,2334754,2238493,3254325,1805808
 "40000","Oklahoma",6,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",2383031,2442443,2254842,2142996,3174118,1735476
 "40000","Oklahoma",6,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",74344,79126,79913,95497,80208,70332
 "40000","Oklahoma",6,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",15101913,18631337,14981566,6726588,15861161,24157848
 "40000","Oklahoma",6,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",13355573,15938026,12849615,5436227,14594196,22912134
 "40000","Oklahoma",6,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",227272,272000,309988,419718,387624,365172
 "40000","Oklahoma",6,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",1519068,2421311,1821963,870643,879341,880543
 "40000","Oklahoma",6,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",2085169,2073257,2236149,2150350,3191948,3206738
 "40000","Oklahoma",6,SAGDP7N,11,"23","  Construction ","Thousands of dollars",2217212,2095501,2218429,3525267,3272501,2638654
 "40000","Oklahoma",6,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",6791906,7865641,8256906,7051184,6403488,7512038
 "40000","Oklahoma",6,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",3267196,3777779,3833542,3530256,2852568,3482462
 "40000","Oklahoma",6,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",175188,116132,90269,156157,175424,256954
 "40000","Oklahoma",6,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",445882,420704,489915,507596,524632,538113
