GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "44000","Rhode Island",1,SAGDP7N,1,"...","All industry total ","Thousands of dollars",20371011,20549454,21768720,22759262,24528405,25936129
 "44000","Rhode Island",1,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",18497702,18643433,19820753,20775921,22365334,23534348
 "44000","Rhode Island",1,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",(D),(D),(D),(D),56535,66760
 "44000","Rhode Island",1,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",20461,18381,14929,18538,21773,32109
 "44000","Rhode Island",1,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",(D),(D),(D),(D),34762,34651
 "44000","Rhode Island",1,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",(D),(D),(D),(D),49524,60585
 "44000","Rhode Island",1,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0
 "44000","Rhode Island",1,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",(D),(D),(D),(D),49524,60585
 "44000","Rhode Island",1,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0
 "44000","Rhode Island",1,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",528763,549543,573736,610107,701811,801020
 "44000","Rhode Island",1,SAGDP7N,11,"23","  Construction ","Thousands of dollars",(D),802107,881926,1005997,864547,796794
 "44000","Rhode Island",1,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",1322076,1523838,1337739,1661231,1759386,1944440
 "44000","Rhode Island",1,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",770095,836890,982655,1071972,1168649,1310816
 "44000","Rhode Island",1,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",(D),7587,6987,(D),-3788,-6901
 "44000","Rhode Island",1,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",18272,17208,20740,36738,34070,37282
 "44000","Rhode Island",1,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",(D),(D),116688,202809,235834,316023
 "44000","Rhode Island",1,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",16445,3037,140778,44490,123745,38022
 "44000","Rhode Island",1,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",82562,87906,93269,91013,(D),101658
 "44000","Rhode Island",1,SAGDP7N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",130902,122820,147844,124625,144777,160314
 "44000","Rhode Island",1,SAGDP7N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",27633,27380,22073,(D),12235,12676
