GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "48000","Texas",6,SAGDP7N,1,"...","All industry total ","Thousands of dollars",685468223,759735016,754784708,754448421,927494591,1081904521
 "48000","Texas",6,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",647975699,720579869,714932437,708395522,878883676,1027345880
 "48000","Texas",6,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",6810511,6053589,6179696,7420570,9678826,8673625
 "48000","Texas",6,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",6479271,5711909,5790387,6862423,9164357,8189778
 "48000","Texas",6,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",331239,341681,389309,558147,514469,483847
 "48000","Texas",6,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",69590078,93126068,83527903,37191995,108203629,168265886
 "48000","Texas",6,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",56076926,73569855,66268344,25426828,95800095,153288565
 "48000","Texas",6,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",1992104,1952414,1867730,2706734,2549304,3386772
 "48000","Texas",6,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",11521048,17603799,15391829,9058432,9854229,11590549
 "48000","Texas",6,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",15899129,16895957,17066598,14665574,21049382,25639031
 "48000","Texas",6,SAGDP7N,11,"23","  Construction ","Thousands of dollars",33496867,31574410,33486502,44486929,41359707,38105639
 "48000","Texas",6,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",113688686,143378130,117374193,98298171,129654973,164660240
 "48000","Texas",6,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",45127939,50602185,45615376,44253935,42482659,48288417
 "48000","Texas",6,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",611706,723713,448967,869963,1395094,1271992
 "48000","Texas",6,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",3304436,2810032,2998991,3293085,3539777,3858631
 "48000","Texas",6,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",1200717,1400854,1243007,1684970,3143723,4301067
 "48000","Texas",6,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",3423468,4325286,4081637,4981862,2828474,3788928
 "48000","Texas",6,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",5653761,7412646,6884578,6216251,5569187,7476850
 "48000","Texas",6,SAGDP7N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",7984170,8448681,6596949,8206849,7403130,7162694
 "48000","Texas",6,SAGDP7N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",646860,862378,877942,764410,701873,787606
