GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "00000","United States *", ,SAGDP7N,1,"...","All industry total ","Thousands of dollars",7873027000,8295055000,8601459000,8857004000,9848221000,10606096000
 "00000","United States *", ,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",7327389000,7724343000,8015429000,8240987000,9194171000,9879342000
 "00000","United States *", ,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",119689000,123114000,115265000,134451000,178000000,205302000
 "00000","United States *", ,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",108581000,111506000,103172000,120574000,164735000,191963000
 "00000","United States *", ,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",11108000,11608000,12094000,13876000,13265000,13339000
 "00000","United States *", ,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",151393000,184588000,163298000,94924000,217416000,315811000
 "00000","United States *", ,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",100192000,123471000,105737000,42691000,156752000,245841000
 "00000","United States *", ,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",29480000,27488000,28215000,35246000,42191000,48823000
 "00000","United States *", ,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",21720000,33630000,29346000,16987000,18472000,21148000
 "00000","United States *", ,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",170362000,171814000,176879000,184996000,223541000,266374000
 "00000","United States *", ,SAGDP7N,11,"23","  Construction ","Thousands of dollars",309683000,320092000,342794000,407089000,396304000,378169000
 "00000","United States *", ,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",968072000,1070643000,1046516000,995990000,1123187000,1284917000
 "00000","United States *", ,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",453371000,469266000,482243000,475128000,481188000,540925000
 "00000","United States *", ,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",12656000,12574000,11316000,18472000,31855000,29729000
 "00000","United States *", ,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",27458000,27039000,29496000,32406000,33594000,35535000
 "00000","United States *", ,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",25463000,31214000,30598000,23965000,38403000,51536000
 "00000","United States *", ,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",41922000,42970000,47869000,52594000,39065000,44635000
 "00000","United States *", ,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",49184000,50624000,55000000,56514000,53621000,67512000
 "00000","United States *", ,SAGDP7N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",89654000,92954000,95862000,97424000,100404000,104212000
 "00000","United States *", ,SAGDP7N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",20200000,21111000,20772000,20809000,16840000,19620000
 "00000","United States *", ,SAGDP7N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",80095000,77509000,77439000,67747000,56395000,63809000
 "00000","United States *", ,SAGDP7N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",69205000,72978000,74852000,58054000,65712000,78523000
 "00000","United States *", ,SAGDP7N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",6521000,6937000,7523000,9335000,6543000,5839000
 "00000","United States *", ,SAGDP7N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",31013000,33356000,31517000,37808000,38758000,39976000
 "00000","United States *", ,SAGDP7N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",514701000,601378000,564273000,520862000,641999000,743992000
 "00000","United States *", ,SAGDP7N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",131740000,123680000,122003000,139457000,144414000,134258000
 "00000","United States *", ,SAGDP7N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",4401000,3437000,3668000,4706000,4023000,3705000
 "00000","United States *", ,SAGDP7N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",1268000,1259000,1660000,3470000,3315000,1941000
 "00000","United States *", ,SAGDP7N,29,"322","    Paper manufacturing ","Thousands of dollars",23688000,27076000,28262000,31885000,30339000,32103000
 "00000","United States *", ,SAGDP7N,30,"323","    Printing and related support activities ","Thousands of dollars",13598000,14143000,14024000,13738000,15341000,15014000
 "00000","United States *", ,SAGDP7N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",87231000,130258000,117983000,36431000,110059000,174251000
 "00000","United States *", ,SAGDP7N,32,"325","    Chemical manufacturing ","Thousands of dollars",224706000,272202000,244974000,261116000,311049000,353554000
 "00000","United States *", ,SAGDP7N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",28068000,29323000,31699000,30058000,23459000,29166000
 "00000","United States *", ,SAGDP7N,34,"42","  Wholesale trade ","Thousands of dollars",419837000,429129000,456665000,506913000,512043000,555053000
 "00000","United States *", ,SAGDP7N,35,"44-45","  Retail trade ","Thousands of dollars",339634000,353265000,369607000,449201000,509600000,520068000
 "00000","United States *", ,SAGDP7N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",244100000,255255000,253746000,236129000,313888000,364321000
 "00000","United States *", ,SAGDP7N,37,"481","   Air transportation ","Thousands of dollars",46346000,43845000,48666000,12175000,41739000,55353000
 "00000","United States *", ,SAGDP7N,38,"482","   Rail transportation ","Thousands of dollars",22481000,23734000,23053000,23205000,27745000,31390000
 "00000","United States *", ,SAGDP7N,39,"483","   Water transportation ","Thousands of dollars",5828000,7213000,6563000,4881000,8676000,11386000
 "00000","United States *", ,SAGDP7N,40,"484","   Truck transportation ","Thousands of dollars",77160000,83374000,81881000,91048000,107980000,126973000
 "00000","United States *", ,SAGDP7N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",19576000,19484000,20878000,17714000,23048000,26879000
 "00000","United States *", ,SAGDP7N,42,"486","   Pipeline transportation ","Thousands of dollars",30054000,32617000,26459000,25996000,33328000,36578000
 "00000","United States *", ,SAGDP7N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",36336000,38046000,38673000,56311000,67375000,71520000
 "00000","United States *", ,SAGDP7N,44,"493","   Warehousing and storage ","Thousands of dollars",6319000,6943000,7572000,4799000,3998000,4242000
 "00000","United States *", ,SAGDP7N,45,"51","  Information ","Thousands of dollars",602678000,602364000,677992000,697836000,753132000,808647000
 "00000","United States *", ,SAGDP7N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",129835000,130093000,151108000,166852000,172163000,188165000
 "00000","United States *", ,SAGDP7N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",55929000,50392000,43002000,38633000,44261000,49020000
 "00000","United States *", ,SAGDP7N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",308850000,318005000,343701000,329255000,336519000,344234000
 "00000","United States *", ,SAGDP7N,49,"518-519","   Data processing, hosting, and other information services ","Thousands of dollars",108063000,103874000,140181000,163096000,200189000,227227000
 "00000","United States *", ,SAGDP7N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",2756405000,2910686000,3048051000,3156422000,3408627000,3669577000
 "00000","United States *", ,SAGDP7N,51,"52","   Finance and insurance ","Thousands of dollars",664031000,682437000,734887000,728476000,795586000,832604000
 "00000","United States *", ,SAGDP7N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Thousands of dollars",366083000,392632000,429066000,429262000,465343000,488916000
 "00000","United States *", ,SAGDP7N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Thousands of dollars",26611000,28734000,11539000,33175000,26049000,23746000
 "00000","United States *", ,SAGDP7N,54,"524","    Insurance carriers and related activities ","Thousands of dollars",267302000,263349000,296123000,268577000,279277000,297654000
 "00000","United States *", ,SAGDP7N,55,"525","    Funds, trusts, and other financial vehicles ","Thousands of dollars",4036000,-2278000,-1841000,-2537000,24917000,22288000
 "00000","United States *", ,SAGDP7N,56,"53","   Real estate and rental and leasing ","Thousands of dollars",2092373000,2228249000,2313164000,2427946000,2613041000,2836973000
 "00000","United States *", ,SAGDP7N,57,"531","    Real estate ","Thousands of dollars",1937377000,2062070000,2135524000,2239914000,2398205000,2593121000
 "00000","United States *", ,SAGDP7N,58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets ","Thousands of dollars",154996000,166179000,177641000,188032000,214836000,243852000
 "00000","United States *", ,SAGDP7N,59,"54,55,56","  Professional and business services ","Thousands of dollars",617897000,658592000,681937000,726916000,740975000,752240000
 "00000","United States *", ,SAGDP7N,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",431980000,461885000,479307000,514032000,518868000,521066000
 "00000","United States *", ,SAGDP7N,61,"5411","    Legal services ","Thousands of dollars",118269000,122441000,128340000,134557000,139195000,133737000
 "00000","United States *", ,SAGDP7N,62,"5415","    Computer systems design and related services ","Thousands of dollars",54929000,65324000,61515000,68396000,50095000,48944000
 "00000","United States *", ,SAGDP7N,63,"5412-5414,5416-5419","    Miscellaneous professional, scientific, and technical services ","Thousands of dollars",258783000,274120000,289452000,311079000,329579000,338385000
 "00000","United States *", ,SAGDP7N,64,"55","   Management of companies and enterprises ","Thousands of dollars",36459000,37166000,38179000,38652000,39685000,43433000
 "00000","United States *", ,SAGDP7N,65,"56","   Administrative and support and waste management and remediation services ","Thousands of dollars",149458000,159541000,164451000,174233000,182422000,187741000
 "00000","United States *", ,SAGDP7N,66,"561","    Administrative and support services ","Thousands of dollars",130141000,139156000,143962000,150805000,159194000,162445000
