GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "50000","Vermont",1,SAGDP7N,1,"...","All industry total ","Thousands of dollars",10766130,10936805,11374841,12173324,13287442,14049275
 "50000","Vermont",1,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",10040717,10188289,10594611,11333644,12429592,13073974
 "50000","Vermont",1,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",261316,243928,323203,326619,361684,527234
 "50000","Vermont",1,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",221412,204635,281875,285880,322015,489832
 "50000","Vermont",1,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",39904,39293,41328,40739,39669,37403
 "50000","Vermont",1,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",115630,48327,35701,92777,87228,92135
 "50000","Vermont",1,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0
 "50000","Vermont",1,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",298567,329266,326714,375619,470103,520583
 "50000","Vermont",1,SAGDP7N,11,"23","  Construction ","Thousands of dollars",219960,205235,216173,300015,260310,183441
 "50000","Vermont",1,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",551422,632134,561498,836721,867634,767276
 "50000","Vermont",1,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",310394,373032,244536,408839,527629,589364
 "50000","Vermont",1,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",59073,62009,40380,51533,63751,55028
 "50000","Vermont",1,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",17747,19725,23478,31083,36322,38920
 "50000","Vermont",1,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",11552,14375,60415,82262,16521,25121
 "50000","Vermont",1,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",141540,149873,126273,170873,147723,186561
 "50000","Vermont",1,SAGDP7N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",48485,119582,-6658,-38360,192331,197087
 "50000","Vermont",1,SAGDP7N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",18749,29846,11964,23686,-6210,-3921
 "50000","Vermont",1,SAGDP7N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAGDP7N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",-29487,-48686,-54629,-17942,-10716,2826
 "50000","Vermont",1,SAGDP7N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",7398,4620,4940,14815,5768,1294
 "50000","Vermont",1,SAGDP7N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",21960,9760,21204,74747,72400,76700
 "50000","Vermont",1,SAGDP7N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",241029,259102,316962,427881,340005,177912
 "50000","Vermont",1,SAGDP7N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",185092,184329,259710,293317,244994,86136
 "50000","Vermont",1,SAGDP7N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",(D),(D),(D),6470,(D),(D)
 "50000","Vermont",1,SAGDP7N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAGDP7N,29,"322","    Paper manufacturing ","Thousands of dollars",17669,11835,18602,51829,42123,32391
 "50000","Vermont",1,SAGDP7N,30,"323","    Printing and related support activities ","Thousands of dollars",10070,12080,5468,4579,2530,-1150
 "50000","Vermont",1,SAGDP7N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",8566,10741,9861,(D),9067,17265
 "50000","Vermont",1,SAGDP7N,32,"325","    Chemical manufacturing ","Thousands of dollars",-16270,1773,-16981,-4903,-17917,-12261
 "50000","Vermont",1,SAGDP7N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",24134,21388,24435,43792,23734,31885
 "50000","Vermont",1,SAGDP7N,34,"42","  Wholesale trade ","Thousands of dollars",530822,555686,597780,675074,660865,704515
 "50000","Vermont",1,SAGDP7N,35,"44-45","  Retail trade ","Thousands of dollars",683232,708220,738216,892427,988494,1040969
 "50000","Vermont",1,SAGDP7N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",170971,174506,169909,179852,214451,242335
 "50000","Vermont",1,SAGDP7N,37,"481","   Air transportation ","Thousands of dollars",9262,5049,7988,4071,16521,23156
 "50000","Vermont",1,SAGDP7N,38,"482","   Rail transportation ","Thousands of dollars",6235,6974,6321,7287,7641,8845
 "50000","Vermont",1,SAGDP7N,39,"483","   Water transportation ","Thousands of dollars",(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAGDP7N,40,"484","   Truck transportation ","Thousands of dollars",101111,105082,99459,106829,114508,126304
 "50000","Vermont",1,SAGDP7N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",16085,14315,14791,13578,19274,20687
 "50000","Vermont",1,SAGDP7N,42,"486","   Pipeline transportation ","Thousands of dollars",(D),(D),(D),(D),(D),0
 "50000","Vermont",1,SAGDP7N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",28688,(D),(D),(D),47684,(D)
 "50000","Vermont",1,SAGDP7N,44,"493","   Warehousing and storage ","Thousands of dollars",5943,6210,7838,3801,2868,2464
 "50000","Vermont",1,SAGDP7N,45,"51","  Information ","Thousands of dollars",484862,445730,521480,526971,569029,620980
 "50000","Vermont",1,SAGDP7N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",179540,167304,171063,176624,167390,(D)
 "50000","Vermont",1,SAGDP7N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",8612,8324,11954,12049,13493,15088
 "50000","Vermont",1,SAGDP7N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",236407,201342,239298,236464,253088,(D)
 "50000","Vermont",1,SAGDP7N,49,"518-519","   Data processing, hosting, and other information services ","Thousands of dollars",60304,68759,99165,101834,135058,159729
 "50000","Vermont",1,SAGDP7N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",4279941,4157758,4302805,4392736,4601322,4900996
 "50000","Vermont",1,SAGDP7N,51,"52","   Finance and insurance ","Thousands of dollars",823761,852909,909742,736618,724288,805148
 "50000","Vermont",1,SAGDP7N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Thousands of dollars",267066,300931,282494,262549,(D),307574
 "50000","Vermont",1,SAGDP7N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Thousands of dollars",19185,28945,16488,53089,26658,19902
 "50000","Vermont",1,SAGDP7N,54,"524","    Insurance carriers and related activities ","Thousands of dollars",536881,524499,612318,422751,441254,470232
 "50000","Vermont",1,SAGDP7N,55,"525","    Funds, trusts, and other financial vehicles ","Thousands of dollars",628,-1467,-1558,-1771,(D),7439
 "50000","Vermont",1,SAGDP7N,56,"53","   Real estate and rental and leasing ","Thousands of dollars",3456181,3304849,3393063,3656118,3877035,4095848
 "50000","Vermont",1,SAGDP7N,57,"531","    Real estate ","Thousands of dollars",3361642,3210187,3302984,3562347,3769038,3953842
 "50000","Vermont",1,SAGDP7N,58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets ","Thousands of dollars",94538,94662,90079,93771,107997,142006
 "50000","Vermont",1,SAGDP7N,59,"54,55,56","  Professional and business services ","Thousands of dollars",980901,1059265,1084253,1177619,1304230,1358658
 "50000","Vermont",1,SAGDP7N,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",707821,762106,763069,818559,901548,923723
 "50000","Vermont",1,SAGDP7N,61,"5411","    Legal services ","Thousands of dollars",104352,109707,113638,124440,128543,126201
 "50000","Vermont",1,SAGDP7N,62,"5415","    Computer systems design and related services ","Thousands of dollars",132018,140335,143715,158173,93144,91393
