GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "11000","District of Columbia",2,SAGDP8N,1,"...","All industry total ","Quantity index",100.000,102.798,103.402,102.579,106.238,107.246
 "11000","District of Columbia",2,SAGDP8N,2,"..."," Private industries ","Quantity index",100.000,103.337,104.957,102.045,106.878,109.293
 "11000","District of Columbia",2,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",100.000,87.518,160.690,168.395,272.253,206.752
 "11000","District of Columbia",2,SAGDP8N,4,"111-112","   Farms ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM)
 "11000","District of Columbia",2,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",100.000,87.518,160.690,168.395,272.253,206.752
 "11000","District of Columbia",2,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM)
 "11000","District of Columbia",2,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM)
 "11000","District of Columbia",2,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM)
 "11000","District of Columbia",2,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM)
 "11000","District of Columbia",2,SAGDP8N,10,"22","  Utilities ","Quantity index",100.000,109.351,106.788,113.972,121.179,98.927
 "11000","District of Columbia",2,SAGDP8N,11,"23","  Construction ","Quantity index",100.000,101.375,102.315,94.464,92.290,81.444
 "11000","District of Columbia",2,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",100.000,98.976,91.916,93.926,120.808,120.509
 "11000","District of Columbia",2,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",100.000,107.266,100.228,109.220,112.517,108.916
 "11000","District of Columbia",2,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",100.000,341.343,893.683,833.147,435.157,55.698
 "11000","District of Columbia",2,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",100.000,77.933,82.376,86.583,79.839,69.892
 "11000","District of Columbia",2,SAGDP8N,16,"331","    Primary metal manufacturing ","Quantity index",100.000,193.534,126.413,189.041,149.952,150.193
 "11000","District of Columbia",2,SAGDP8N,17,"332","    Fabricated metal product manufacturing ","Quantity index",100.000,127.612,120.956,103.625,101.732,99.913
 "11000","District of Columbia",2,SAGDP8N,18,"333","    Machinery manufacturing ","Quantity index",100.000,97.957,82.040,86.660,101.380,103.578
 "11000","District of Columbia",2,SAGDP8N,19,"334","    Computer and electronic product manufacturing ","Quantity index",100.000,108.692,101.629,106.598,118.558,128.841
 "11000","District of Columbia",2,SAGDP8N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Quantity index",100.000,68.058,35.612,59.457,49.580,52.648
 "11000","District of Columbia",2,SAGDP8N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM)
