GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "18000","Indiana",3,SAGDP8N,1,"...","All industry total ","Quantity index",100.000,103.140,103.778,100.461,107.416,110.761
 "18000","Indiana",3,SAGDP8N,2,"..."," Private industries ","Quantity index",100.000,103.238,104.003,100.486,108.356,111.785
 "18000","Indiana",3,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",100.000,105.569,84.399,114.999,138.776,134.457
 "18000","Indiana",3,SAGDP8N,4,"111-112","   Farms ","Quantity index",100.000,107.382,80.811,117.013,145.227,141.190
 "18000","Indiana",3,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",100.000,93.658,106.474,103.164,96.651,89.219
 "18000","Indiana",3,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",100.000,90.446,79.174,76.352,76.369,94.154
 "18000","Indiana",3,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",100.000,79.343,86.270,84.383,64.044,58.349
 "18000","Indiana",3,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",100.000,90.458,77.755,74.482,73.952,91.855
 "18000","Indiana",3,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",100.000,96.674,101.929,107.609,130.767,165.572
 "18000","Indiana",3,SAGDP8N,10,"22","  Utilities ","Quantity index",100.000,97.119,99.434,102.450,100.948,94.024
 "18000","Indiana",3,SAGDP8N,11,"23","  Construction ","Quantity index",100.000,102.729,105.675,105.571,110.341,104.507
 "18000","Indiana",3,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",100.000,103.986,103.886,98.487,109.004,116.112
 "18000","Indiana",3,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",100.000,106.030,106.467,98.874,111.401,125.998
 "18000","Indiana",3,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",100.000,91.082,98.442,84.877,88.527,84.650
 "18000","Indiana",3,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",100.000,102.118,109.117,99.431,102.795,97.641
 "18000","Indiana",3,SAGDP8N,16,"331","    Primary metal manufacturing ","Quantity index",100.000,111.458,113.145,106.086,124.872,162.744
 "18000","Indiana",3,SAGDP8N,17,"332","    Fabricated metal product manufacturing ","Quantity index",100.000,103.586,101.405,93.011,94.749,84.051
 "18000","Indiana",3,SAGDP8N,18,"333","    Machinery manufacturing ","Quantity index",100.000,114.855,115.175,104.204,112.261,124.625
 "18000","Indiana",3,SAGDP8N,19,"334","    Computer and electronic product manufacturing ","Quantity index",100.000,102.290,105.741,86.412,92.996,92.789
 "18000","Indiana",3,SAGDP8N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Quantity index",100.000,82.780,91.450,92.946,101.228,99.397
 "18000","Indiana",3,SAGDP8N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Quantity index",100.000,103.576,104.307,97.491,119.251,146.845
 "18000","Indiana",3,SAGDP8N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Quantity index",100.000,106.877,108.258,100.969,114.056,135.858
 "18000","Indiana",3,SAGDP8N,23,"337","    Furniture and related product manufacturing ","Quantity index",100.000,108.836,96.250,88.724,95.283,92.140
 "18000","Indiana",3,SAGDP8N,24,"339","    Miscellaneous manufacturing ","Quantity index",100.000,109.498,108.152,107.151,110.340,113.538
 "18000","Indiana",3,SAGDP8N,25,"311-316,322-326","   Nondurable goods manufacturing ","Quantity index",100.000,101.201,100.373,97.980,105.868,104.327
 "18000","Indiana",3,SAGDP8N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Quantity index",100.000,95.690,92.966,91.445,100.975,109.891
 "18000","Indiana",3,SAGDP8N,27,"313-314","    Textile mills and textile product mills ","Quantity index",100.000,100.814,77.172,80.106,93.135,97.429
 "18000","Indiana",3,SAGDP8N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Quantity index",100.000,89.649,81.329,60.772,65.074,83.306
 "18000","Indiana",3,SAGDP8N,29,"322","    Paper manufacturing ","Quantity index",100.000,117.968,125.804,117.766,130.590,121.802
 "18000","Indiana",3,SAGDP8N,30,"323","    Printing and related support activities ","Quantity index",100.000,99.077,94.505,79.167,82.561,76.696
 "18000","Indiana",3,SAGDP8N,31,"324","    Petroleum and coal products manufacturing ","Quantity index",100.000,99.267,101.843,70.683,100.933,79.108
 "18000","Indiana",3,SAGDP8N,32,"325","    Chemical manufacturing ","Quantity index",100.000,102.822,103.252,107.625,112.134,115.270
 "18000","Indiana",3,SAGDP8N,33,"326","    Plastics and rubber products manufacturing ","Quantity index",100.000,100.023,91.364,80.435,83.633,73.359
 "18000","Indiana",3,SAGDP8N,34,"42","  Wholesale trade ","Quantity index",100.000,104.528,103.353,104.889,105.991,103.127
 "18000","Indiana",3,SAGDP8N,35,"44-45","  Retail trade ","Quantity index",100.000,102.165,101.476,102.552,103.038,100.187
 "18000","Indiana",3,SAGDP8N,36,"48-49","  Transportation and warehousing ","Quantity index",100.000,101.305,100.340,101.168,110.460,106.513
 "18000","Indiana",3,SAGDP8N,37,"481","   Air transportation ","Quantity index",100.000,116.930,114.089,45.998,93.135,135.437
 "18000","Indiana",3,SAGDP8N,38,"482","   Rail transportation ","Quantity index",100.000,100.843,94.378,91.352,97.727,102.882
 "18000","Indiana",3,SAGDP8N,39,"483","   Water transportation ","Quantity index",100.000,80.289,69.708,97.412,92.097,82.959
 "18000","Indiana",3,SAGDP8N,40,"484","   Truck transportation ","Quantity index",100.000,98.296,96.132,95.310,101.895,91.521
 "18000","Indiana",3,SAGDP8N,41,"485","   Transit and ground passenger transportation ","Quantity index",100.000,91.599,90.310,73.824,92.130,132.566
 "18000","Indiana",3,SAGDP8N,42,"486","   Pipeline transportation ","Quantity index",100.000,93.906,85.548,94.270,148.450,91.253
 "18000","Indiana",3,SAGDP8N,43,"487-488,492","   Other transportation and support activities ","Quantity index",100.000,105.634,104.864,120.071,122.176,124.393
