GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "30000","Montana",7,SAGDP8N,1,"...","All industry total ","Quantity index",100.000,102.031,103.813,103.485,109.246,111.374
 "30000","Montana",7,SAGDP8N,2,"..."," Private industries ","Quantity index",100.000,102.691,104.571,104.283,110.787,113.175
 "30000","Montana",7,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",100.000,130.445,141.314,132.540,77.314,117.465
 "30000","Montana",7,SAGDP8N,4,"111-112","   Farms ","Quantity index",100.000,138.343,152.339,139.264,68.601,114.881
 "30000","Montana",7,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",100.000,100.966,100.588,106.813,112.164,114.958
 "30000","Montana",7,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",100.000,99.869,104.439,124.245,124.787,110.014
 "30000","Montana",7,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",100.000,86.692,99.293,132.124,112.878,84.102
 "30000","Montana",7,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",100.000,97.547,102.354,128.185,133.279,123.488
 "30000","Montana",7,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",100.000,148.841,130.839,89.444,101.949,112.785
 "30000","Montana",7,SAGDP8N,10,"22","  Utilities ","Quantity index",100.000,92.320,96.927,101.107,92.030,85.233
 "30000","Montana",7,SAGDP8N,11,"23","  Construction ","Quantity index",100.000,103.067,104.361,108.629,118.162,118.636
 "30000","Montana",7,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",100.000,98.218,86.748,76.001,82.905,76.991
 "30000","Montana",7,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",100.000,96.786,97.140,99.081,108.819,112.952
 "30000","Montana",7,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",100.000,83.810,55.187,51.012,59.263,54.031
 "30000","Montana",7,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",100.000,95.786,98.444,101.747,106.118,104.572
 "30000","Montana",7,SAGDP8N,16,"331","    Primary metal manufacturing ","Quantity index",100.000,102.833,162.637,235.487,183.344,217.976
 "30000","Montana",7,SAGDP8N,17,"332","    Fabricated metal product manufacturing ","Quantity index",100.000,89.330,105.985,107.062,105.501,106.802
 "30000","Montana",7,SAGDP8N,18,"333","    Machinery manufacturing ","Quantity index",100.000,151.151,147.951,151.494,173.303,195.290
 "30000","Montana",7,SAGDP8N,19,"334","    Computer and electronic product manufacturing ","Quantity index",100.000,129.552,221.491,233.246,253.490,267.944
 "30000","Montana",7,SAGDP8N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Quantity index",100.000,93.840,76.536,81.350,83.270,78.374
 "30000","Montana",7,SAGDP8N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Quantity index",100.000,113.616,134.913,142.249,181.938,235.557
 "30000","Montana",7,SAGDP8N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Quantity index",100.000,96.813,151.819,197.989,229.606,286.151
 "30000","Montana",7,SAGDP8N,23,"337","    Furniture and related product manufacturing ","Quantity index",100.000,103.663,99.973,94.579,118.101,110.345
 "30000","Montana",7,SAGDP8N,24,"339","    Miscellaneous manufacturing ","Quantity index",100.000,98.184,113.623,115.506,135.144,160.693
 "30000","Montana",7,SAGDP8N,25,"311-316,322-326","   Nondurable goods manufacturing ","Quantity index",100.000,98.862,82.254,64.505,69.991,60.435
 "30000","Montana",7,SAGDP8N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Quantity index",100.000,116.817,118.372,91.936,96.923,103.875
 "30000","Montana",7,SAGDP8N,27,"313-314","    Textile mills and textile product mills ","Quantity index",100.000,93.420,95.707,93.204,98.375,100.338
 "30000","Montana",7,SAGDP8N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Quantity index",100.000,118.723,126.363,89.680,143.503,128.004
 "30000","Montana",7,SAGDP8N,29,"322","    Paper manufacturing ","Quantity index",100.000,102.382,108.111,153.510,130.648,49.941
