GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "32000","Nevada",8,SAGDP8N,1,"...","All industry total ","Quantity index",100.000,103.333,107.704,101.590,110.971,114.723
 "32000","Nevada",8,SAGDP8N,2,"..."," Private industries ","Quantity index",100.000,103.701,108.204,101.608,111.973,115.850
 "32000","Nevada",8,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",100.000,105.059,127.457,110.885,118.899,57.722
 "32000","Nevada",8,SAGDP8N,4,"111-112","   Farms ","Quantity index",100.000,104.199,131.702,110.919,118.833,41.461
 "32000","Nevada",8,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",100.000,110.348,102.816,110.251,118.888,197.020
 "32000","Nevada",8,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",100.000,83.600,86.930,113.201,106.879,82.655
 "32000","Nevada",8,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",100.000,83.547,150.386,148.234,58.388,51.695
 "32000","Nevada",8,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",100.000,81.183,83.495,110.857,103.037,77.818
 "32000","Nevada",8,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",100.000,136.972,162.857,161.460,199.149,214.625
 "32000","Nevada",8,SAGDP8N,10,"22","  Utilities ","Quantity index",100.000,94.356,98.267,99.604,91.773,107.268
 "32000","Nevada",8,SAGDP8N,11,"23","  Construction ","Quantity index",100.000,108.369,120.201,126.316,131.281,126.789
 "32000","Nevada",8,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",100.000,104.519,106.925,106.277,115.360,121.187
 "32000","Nevada",8,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",100.000,104.158,106.949,107.145,117.081,121.380
 "32000","Nevada",8,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",100.000,100.254,99.835,115.662,97.905,95.915
 "32000","Nevada",8,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",100.000,113.655,109.853,111.082,108.367,110.365
 "32000","Nevada",8,SAGDP8N,16,"331","    Primary metal manufacturing ","Quantity index",100.000,99.098,117.238,119.912,60.421,67.684
 "32000","Nevada",8,SAGDP8N,17,"332","    Fabricated metal product manufacturing ","Quantity index",100.000,122.184,130.053,122.406,118.627,123.505
 "32000","Nevada",8,SAGDP8N,18,"333","    Machinery manufacturing ","Quantity index",100.000,93.545,149.850,128.361,141.772,153.445
 "32000","Nevada",8,SAGDP8N,19,"334","    Computer and electronic product manufacturing ","Quantity index",100.000,38.519,38.040,64.747,69.607,72.408
 "32000","Nevada",8,SAGDP8N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Quantity index",100.000,206.975,218.839,242.393,322.518,295.998
 "32000","Nevada",8,SAGDP8N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Quantity index",100.000,137.308,119.104,127.893,146.597,165.530
 "32000","Nevada",8,SAGDP8N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Quantity index",100.000,74.673,97.131,67.488,84.611,108.293
 "32000","Nevada",8,SAGDP8N,23,"337","    Furniture and related product manufacturing ","Quantity index",100.000,125.671,160.339,114.071,114.406,118.987
 "32000","Nevada",8,SAGDP8N,24,"339","    Miscellaneous manufacturing ","Quantity index",100.000,101.138,95.101,88.697,98.607,109.005
 "32000","Nevada",8,SAGDP8N,25,"311-316,322-326","   Nondurable goods manufacturing ","Quantity index",100.000,105.436,106.858,104.008,110.923,120.465
 "32000","Nevada",8,SAGDP8N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Quantity index",100.000,112.462,99.724,93.272,109.857,132.052
 "32000","Nevada",8,SAGDP8N,27,"313-314","    Textile mills and textile product mills ","Quantity index",100.000,82.459,98.738,81.911,87.108,90.088
 "32000","Nevada",8,SAGDP8N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Quantity index",100.000,140.096,54.706,17.430,23.124,133.895
 "32000","Nevada",8,SAGDP8N,29,"322","    Paper manufacturing ","Quantity index",100.000,120.872,159.009,175.870,165.434,171.913
 "32000","Nevada",8,SAGDP8N,30,"323","    Printing and related support activities ","Quantity index",100.000,103.852,114.148,98.842,98.602,130.005
 "32000","Nevada",8,SAGDP8N,31,"324","    Petroleum and coal products manufacturing ","Quantity index",100.000,80.329,96.707,131.149,108.177,64.186
 "32000","Nevada",8,SAGDP8N,32,"325","    Chemical manufacturing ","Quantity index",100.000,102.467,116.052,128.094,119.590,126.574
 "32000","Nevada",8,SAGDP8N,33,"326","    Plastics and rubber products manufacturing ","Quantity index",100.000,102.315,95.389,82.508,105.946,99.796
 "32000","Nevada",8,SAGDP8N,34,"42","  Wholesale trade ","Quantity index",100.000,105.084,105.077,106.334,103.823,100.013
 "32000","Nevada",8,SAGDP8N,35,"44-45","  Retail trade ","Quantity index",100.000,105.844,111.213,109.118,106.982,102.054
 "32000","Nevada",8,SAGDP8N,36,"48-49","  Transportation and warehousing ","Quantity index",100.000,100.923,102.630,80.703,110.478,119.347
 "32000","Nevada",8,SAGDP8N,37,"481","   Air transportation ","Quantity index",100.000,102.187,104.251,38.954,99.504,133.660
 "32000","Nevada",8,SAGDP8N,38,"482","   Rail transportation ","Quantity index",100.000,100.722,93.141,83.080,95.767,102.914
 "32000","Nevada",8,SAGDP8N,39,"483","   Water transportation ","Quantity index",100.000,113.422,20.917,10.519,25.779,31.698
 "32000","Nevada",8,SAGDP8N,40,"484","   Truck transportation ","Quantity index",100.000,98.977,103.826,99.987,110.108,103.103
 "32000","Nevada",8,SAGDP8N,41,"485","   Transit and ground passenger transportation ","Quantity index",100.000,86.363,62.976,38.353,52.004,77.092
 "32000","Nevada",8,SAGDP8N,42,"486","   Pipeline transportation ","Quantity index",100.000,103.205,88.073,85.916,233.479,159.343
 "32000","Nevada",8,SAGDP8N,43,"487-488,492","   Other transportation and support activities ","Quantity index",100.000,103.612,107.795,117.159,121.169,112.818
 "32000","Nevada",8,SAGDP8N,44,"493","   Warehousing and storage ","Quantity index",100.000,111.210,133.488,167.106,211.087,198.982
 "32000","Nevada",8,SAGDP8N,45,"51","  Information ","Quantity index",100.000,110.361,130.128,120.012,156.090,157.976
 "32000","Nevada",8,SAGDP8N,46,"511","   Publishing industries (except Internet) ","Quantity index",100.000,109.133,139.684,148.675,205.451,233.138
 "32000","Nevada",8,SAGDP8N,47,"512","   Motion picture and sound recording industries ","Quantity index",100.000,95.902,112.879,51.076,141.376,117.549
 "32000","Nevada",8,SAGDP8N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Quantity index",100.000,114.080,136.269,119.249,109.131,98.325
 "32000","Nevada",8,SAGDP8N,49,"518-519","   Data processing, hosting, and other information services ","Quantity index",100.000,107.075,113.749,134.375,266.465,300.228
 "32000","Nevada",8,SAGDP8N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Quantity index",100.000,105.302,108.725,112.443,120.567,122.156
 "32000","Nevada",8,SAGDP8N,51,"52","   Finance and insurance ","Quantity index",100.000,104.068,112.626,128.267,139.812,131.570
