GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "36000","New York",2,SAGDP8N,1,"...","All industry total ","Quantity index",100.000,102.486,105.228,101.586,106.134,108.538
 "36000","New York",2,SAGDP8N,2,"..."," Private industries ","Quantity index",100.000,102.040,105.010,101.456,106.306,109.023
 "36000","New York",2,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",100.000,94.170,108.758,99.963,101.260,112.714
 "36000","New York",2,SAGDP8N,4,"111-112","   Farms ","Quantity index",100.000,94.628,111.729,99.722,99.428,112.262
 "36000","New York",2,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",100.000,91.825,94.115,100.563,110.454,111.623
 "36000","New York",2,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",100.000,104.104,107.808,119.487,112.733,92.141
 "36000","New York",2,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",100.000,84.626,116.164,194.366,85.722,60.495
 "36000","New York",2,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",100.000,101.816,103.885,113.515,113.444,93.224
 "36000","New York",2,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",100.000,155.483,138.845,112.521,144.499,135.236
 "36000","New York",2,SAGDP8N,10,"22","  Utilities ","Quantity index",100.000,102.828,104.640,119.077,112.248,102.956
 "36000","New York",2,SAGDP8N,11,"23","  Construction ","Quantity index",100.000,101.010,100.717,90.538,92.658,83.601
 "36000","New York",2,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",100.000,98.197,104.580,98.286,102.023,101.413
 "36000","New York",2,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",100.000,99.629,100.318,90.707,93.057,94.643
 "36000","New York",2,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",100.000,89.487,95.613,92.606,88.252,72.531
 "36000","New York",2,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",100.000,101.887,108.080,96.850,103.894,102.396
 "36000","New York",2,SAGDP8N,16,"331","    Primary metal manufacturing ","Quantity index",100.000,83.005,90.631,93.624,79.285,99.893
 "36000","New York",2,SAGDP8N,17,"332","    Fabricated metal product manufacturing ","Quantity index",100.000,105.382,105.783,93.791,94.321,85.518
 "36000","New York",2,SAGDP8N,18,"333","    Machinery manufacturing ","Quantity index",100.000,92.823,96.760,76.072,79.780,81.777
 "36000","New York",2,SAGDP8N,19,"334","    Computer and electronic product manufacturing ","Quantity index",100.000,102.904,100.996,92.747,95.671,99.879
 "36000","New York",2,SAGDP8N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Quantity index",100.000,107.265,106.921,135.116,120.933,108.872
 "36000","New York",2,SAGDP8N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Quantity index",100.000,108.376,105.032,95.376,101.743,117.848
 "36000","New York",2,SAGDP8N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Quantity index",100.000,89.852,84.788,79.496,84.262,92.354
 "36000","New York",2,SAGDP8N,23,"337","    Furniture and related product manufacturing ","Quantity index",100.000,106.819,114.215,90.216,89.671,86.818
 "36000","New York",2,SAGDP8N,24,"339","    Miscellaneous manufacturing ","Quantity index",100.000,96.979,93.930,84.400,94.115,100.252
 "36000","New York",2,SAGDP8N,25,"311-316,322-326","   Nondurable goods manufacturing ","Quantity index",100.000,96.802,108.729,105.685,110.748,108.112
 "36000","New York",2,SAGDP8N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Quantity index",100.000,94.862,99.857,91.836,98.054,95.862
 "36000","New York",2,SAGDP8N,27,"313-314","    Textile mills and textile product mills ","Quantity index",100.000,95.670,87.788,78.483,73.721,70.285
 "36000","New York",2,SAGDP8N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Quantity index",100.000,88.460,76.324,59.115,59.409,66.734
 "36000","New York",2,SAGDP8N,29,"322","    Paper manufacturing ","Quantity index",100.000,109.759,117.724,128.437,125.523,105.595
 "36000","New York",2,SAGDP8N,30,"323","    Printing and related support activities ","Quantity index",100.000,100.788,99.158,80.923,90.235,86.085
 "36000","New York",2,SAGDP8N,31,"324","    Petroleum and coal products manufacturing ","Quantity index",100.000,95.530,105.170,134.229,100.286,86.408
 "36000","New York",2,SAGDP8N,32,"325","    Chemical manufacturing ","Quantity index",100.000,94.351,120.308,120.009,128.196,130.706
 "36000","New York",2,SAGDP8N,33,"326","    Plastics and rubber products manufacturing ","Quantity index",100.000,107.761,108.256,115.239,114.351,98.391
 "36000","New York",2,SAGDP8N,34,"42","  Wholesale trade ","Quantity index",100.000,99.839,98.259,93.582,91.637,86.361
 "36000","New York",2,SAGDP8N,35,"44-45","  Retail trade ","Quantity index",100.000,103.019,105.784,97.063,96.099,93.672
 "36000","New York",2,SAGDP8N,36,"48-49","  Transportation and warehousing ","Quantity index",100.000,104.796,105.886,88.637,100.025,108.733
 "36000","New York",2,SAGDP8N,37,"481","   Air transportation ","Quantity index",100.000,105.935,103.758,60.918,95.026,124.599
 "36000","New York",2,SAGDP8N,38,"482","   Rail transportation ","Quantity index",100.000,99.509,97.269,72.305,64.870,77.021
 "36000","New York",2,SAGDP8N,39,"483","   Water transportation ","Quantity index",100.000,110.237,101.010,97.827,100.163,80.848
 "36000","New York",2,SAGDP8N,40,"484","   Truck transportation ","Quantity index",100.000,97.609,96.594,93.791,99.420,88.325
 "36000","New York",2,SAGDP8N,41,"485","   Transit and ground passenger transportation ","Quantity index",100.000,105.058,115.906,90.383,100.956,119.500
 "36000","New York",2,SAGDP8N,42,"486","   Pipeline transportation ","Quantity index",100.000,111.473,57.034,38.896,48.296,51.266
 "36000","New York",2,SAGDP8N,43,"487-488,492","   Other transportation and support activities ","Quantity index",100.000,106.493,105.135,112.900,107.778,106.143
 "36000","New York",2,SAGDP8N,44,"493","   Warehousing and storage ","Quantity index",100.000,110.553,133.055,150.292,175.928,182.921
 "36000","New York",2,SAGDP8N,45,"51","  Information ","Quantity index",100.000,112.381,123.070,126.990,137.306,146.009
 "36000","New York",2,SAGDP8N,46,"511","   Publishing industries (except Internet) ","Quantity index",100.000,112.619,112.862,123.847,137.996,152.095
 "36000","New York",2,SAGDP8N,47,"512","   Motion picture and sound recording industries ","Quantity index",100.000,96.426,94.168,86.360,103.882,107.619
 "36000","New York",2,SAGDP8N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Quantity index",100.000,114.044,123.259,122.981,116.194,120.540
 "36000","New York",2,SAGDP8N,49,"518-519","   Data processing, hosting, and other information services ","Quantity index",100.000,121.527,157.807,176.379,223.106,242.814
 "36000","New York",2,SAGDP8N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Quantity index",100.000,98.129,99.408,102.052,105.635,108.769
 "36000","New York",2,SAGDP8N,51,"52","   Finance and insurance ","Quantity index",100.000,94.584,97.150,101.889,103.601,105.476
 "36000","New York",2,SAGDP8N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Quantity index",100.000,95.076,97.944,100.850,101.052,97.632
 "36000","New York",2,SAGDP8N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Quantity index",100.000,94.316,89.149,94.769,92.890,108.717
 "36000","New York",2,SAGDP8N,54,"524","    Insurance carriers and related activities ","Quantity index",100.000,95.138,110.348,118.981,127.065,121.801
 "36000","New York",2,SAGDP8N,55,"525","    Funds, trusts, and other financial vehicles ","Quantity index",100.000,14.452,13.762,18.827,381.718,178.815
 "36000","New York",2,SAGDP8N,56,"53","   Real estate and rental and leasing ","Quantity index",100.000,103.426,102.738,102.216,108.672,113.777
 "36000","New York",2,SAGDP8N,57,"531","    Real estate ","Quantity index",100.000,103.403,102.497,101.451,106.646,111.858
 "36000","New York",2,SAGDP8N,58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets ","Quantity index",100.000,103.800,106.883,115.652,144.269,147.624
 "36000","New York",2,SAGDP8N,59,"54,55,56","  Professional and business services ","Quantity index",100.000,104.067,109.503,104.854,112.123,116.998
 "36000","New York",2,SAGDP8N,60,"54","   Professional, scientific, and technical services ","Quantity index",100.000,102.507,106.479,104.786,113.521,117.244
 "36000","New York",2,SAGDP8N,61,"5411","    Legal services ","Quantity index",100.000,101.182,101.102,93.159,94.398,90.859
 "36000","New York",2,SAGDP8N,62,"5415","    Computer systems design and related services ","Quantity index",100.000,112.951,121.481,134.192,152.230,161.641
 "36000","New York",2,SAGDP8N,63,"5412-5414,5416-5419","    Miscellaneous professional, scientific, and technical services ","Quantity index",100.000,100.667,105.761,104.358,115.442,122.409
 "36000","New York",2,SAGDP8N,64,"55","   Management of companies and enterprises ","Quantity index",100.000,104.149,109.390,106.573,119.111,124.861
 "36000","New York",2,SAGDP8N,65,"56","   Administrative and support and waste management and remediation services ","Quantity index",100.000,109.373,119.935,104.125,103.302,111.451
 "36000","New York",2,SAGDP8N,66,"561","    Administrative and support services ","Quantity index",100.000,110.100,121.751,105.411,104.261,112.834
 "36000","New York",2,SAGDP8N,67,"562","    Waste management and remediation services ","Quantity index",100.000,100.339,97.776,88.269,91.193,94.414
 "36000","New York",2,SAGDP8N,68,"61,62","  Educational services, health care, and social assistance ","Quantity index",100.000,103.992,107.699,103.467,107.175,110.723
 "36000","New York",2,SAGDP8N,69,"61","   Educational services ","Quantity index",100.000,101.947,102.501,95.086,97.661,101.860
 "36000","New York",2,SAGDP8N,70,"62","   Health care and social assistance ","Quantity index",100.000,104.599,109.251,105.976,110.024,113.377
 "36000","New York",2,SAGDP8N,71,"621","    Ambulatory health care services ","Quantity index",100.000,105.382,113.352,105.437,116.647,121.013
 "36000","New York",2,SAGDP8N,72,"622","    Hospitals ","Quantity index",100.000,104.354,106.352,108.898,107.764,107.358
 "36000","New York",2,SAGDP8N,73,"623","    Nursing and residential care facilities ","Quantity index",100.000,100.626,99.847,97.072,93.533,99.916
 "36000","New York",2,SAGDP8N,74,"624","    Social assistance ","Quantity index",100.000,106.350,112.946,107.132,110.331,118.602
 "36000","New York",2,SAGDP8N,75,"71,72","  Arts, entertainment, recreation, accommodation, and food services ","Quantity index",100.000,108.245,109.611,69.571,90.602,104.005
 "36000","New York",2,SAGDP8N,76,"71","   Arts, entertainment, and recreation ","Quantity index",100.000,106.116,108.061,69.844,88.534,111.848
 "36000","New York",2,SAGDP8N,77,"711-712","    Performing arts, spectator sports, museums, and related activities ","Quantity index",100.000,107.805,110.028,71.879,91.440,117.967
 "36000","New York",2,SAGDP8N,78,"713","    Amusement, gambling, and recreation industries ","Quantity index",100.000,98.898,99.683,61.333,76.457,87.205
 "36000","New York",2,SAGDP8N,79,"72","   Accommodation and food services ","Quantity index",100.000,109.460,110.502,69.426,91.768,99.986
 "36000","New York",2,SAGDP8N,80,"721","    Accommodation ","Quantity index",100.000,129.473,139.897,78.584,108.433,117.470
