GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "10000","Delaware",2,SAGDP9N,1,"...","All industry total ","Millions of chained 2017 dollars",69555.6,70856.4,74597.4,72550.3,74436.7,75172.6
 "10000","Delaware",2,SAGDP9N,2,"..."," Private industries ","Millions of chained 2017 dollars",62453.1,63553.9,67352.1,65405.2,67142.0,67721.7
 "10000","Delaware",2,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",611.5,656.0,574.4,336.1,490.5,682.4
 "10000","Delaware",2,SAGDP9N,4,"111-112","   Farms ","Millions of chained 2017 dollars",578.0,620.2,539.8,299.6,457.1,645.3
 "10000","Delaware",2,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2017 dollars",33.6,35.8,34.3,34.7,30.4,29.6
 "10000","Delaware",2,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",5.6,6.5,6.1,6.3,6.8,6.8
 "10000","Delaware",2,SAGDP9N,7,"211","   Oil and gas extraction ","Millions of chained 2017 dollars",0.0,0.0,0.0,0.0,0.0,0.0
 "10000","Delaware",2,SAGDP9N,8,"212","   Mining (except oil and gas) ","Millions of chained 2017 dollars",5.1,5.3,4.7,6.2,6.6,6.7
 "10000","Delaware",2,SAGDP9N,9,"213","   Support activities for mining ","Millions of chained 2017 dollars",0.5,1.2,1.4,0.0,0.0,0.0
 "10000","Delaware",2,SAGDP9N,10,"22","  Utilities ","Millions of chained 2017 dollars",1061.3,997.3,999.5,1120.0,1045.4,1015.0
 "10000","Delaware",2,SAGDP9N,11,"23","  Construction ","Millions of chained 2017 dollars",2597.0,2630.4,2742.7,2699.9,2783.7,2523.9
 "10000","Delaware",2,SAGDP9N,12,"31-33","  Manufacturing ","Millions of chained 2017 dollars",4352.1,4606.4,5281.9,5411.7,5392.9,5239.9
 "10000","Delaware",2,SAGDP9N,13,"321,327-339","   Durable goods manufacturing ","Millions of chained 2017 dollars",1323.8,1414.4,1468.2,1406.8,1418.3,1436.3
 "10000","Delaware",2,SAGDP9N,14,"321","    Wood product manufacturing ","Millions of chained 2017 dollars",24.4,18.0,21.6,18.6,17.3,14.5
 "10000","Delaware",2,SAGDP9N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of chained 2017 dollars",92.5,87.5,92.2,96.0,97.3,93.3
 "10000","Delaware",2,SAGDP9N,16,"331","    Primary metal manufacturing ","Millions of chained 2017 dollars",35.7,22.7,33.5,30.6,20.6,23.5
 "10000","Delaware",2,SAGDP9N,17,"332","    Fabricated metal product manufacturing ","Millions of chained 2017 dollars",136.8,145.0,142.3,111.5,102.4,91.5
 "10000","Delaware",2,SAGDP9N,18,"333","    Machinery manufacturing ","Millions of chained 2017 dollars",109.8,111.4,121.2,153.8,184.5,164.4
 "10000","Delaware",2,SAGDP9N,19,"334","    Computer and electronic product manufacturing ","Millions of chained 2017 dollars",514.3,573.7,573.1,525.0,508.9,541.0
 "10000","Delaware",2,SAGDP9N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of chained 2017 dollars",100.2,88.5,104.8,83.7,73.8,77.7
 "10000","Delaware",2,SAGDP9N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Millions of chained 2017 dollars",9.0,17.7,19.0,6.3,7.3,9.1
 "10000","Delaware",2,SAGDP9N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Millions of chained 2017 dollars",65.3,103.2,111.1,89.9,80.9,96.1
 "10000","Delaware",2,SAGDP9N,23,"337","    Furniture and related product manufacturing ","Millions of chained 2017 dollars",52.5,59.4,69.7,98.3,104.1,97.6
 "10000","Delaware",2,SAGDP9N,24,"339","    Miscellaneous manufacturing ","Millions of chained 2017 dollars",183.5,189.5,179.9,191.0,217.9,231.5
 "10000","Delaware",2,SAGDP9N,25,"311-316,322-326","   Nondurable goods manufacturing ","Millions of chained 2017 dollars",3028.3,3192.1,3809.4,4003.1,3973.8,3809.7
 "10000","Delaware",2,SAGDP9N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Millions of chained 2017 dollars",1101.3,1049.8,1069.5,1095.7,1194.6,1289.9
 "10000","Delaware",2,SAGDP9N,27,"313-314","    Textile mills and textile product mills ","Millions of chained 2017 dollars",57.6,56.1,54.2,54.9,53.2,54.3
 "10000","Delaware",2,SAGDP9N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Millions of chained 2017 dollars",5.5,5.4,3.8,6.1,4.1,4.0
 "10000","Delaware",2,SAGDP9N,29,"322","    Paper manufacturing ","Millions of chained 2017 dollars",211.9,179.1,193.2,220.8,206.2,218.6
 "10000","Delaware",2,SAGDP9N,30,"323","    Printing and related support activities ","Millions of chained 2017 dollars",27.6,27.3,26.7,28.2,30.2,28.3
 "10000","Delaware",2,SAGDP9N,31,"324","    Petroleum and coal products manufacturing ","Millions of chained 2017 dollars",400.5,472.8,630.6,647.1,437.6,222.7
 "10000","Delaware",2,SAGDP9N,32,"325","    Chemical manufacturing ","Millions of chained 2017 dollars",968.5,1126.6,1544.2,1772.8,1848.8,1929.1
 "10000","Delaware",2,SAGDP9N,33,"326","    Plastics and rubber products manufacturing ","Millions of chained 2017 dollars",255.4,265.2,260.6,152.4,150.6,141.7
 "10000","Delaware",2,SAGDP9N,34,"42","  Wholesale trade ","Millions of chained 2017 dollars",1879.9,1902.5,1930.8,2022.3,2006.2,1952.1
 "10000","Delaware",2,SAGDP9N,35,"44-45","  Retail trade ","Millions of chained 2017 dollars",3021.2,3110.4,3159.9,3054.0,3079.7,2908.6
 "10000","Delaware",2,SAGDP9N,36,"48-49","  Transportation and warehousing ","Millions of chained 2017 dollars",1187.4,1219.3,1313.0,1291.4,1439.4,1530.1
 "10000","Delaware",2,SAGDP9N,37,"481","   Air transportation ","Millions of chained 2017 dollars",34.4,35.6,17.0,1.3,25.8,167.4
