GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "25000","Massachusetts",1,SAGDP9N,1,"...","All industry total ","Millions of chained 2017 dollars",530129.4,549262.1,566706.2,556196.4,591911.5,604357.7
 "25000","Massachusetts",1,SAGDP9N,2,"..."," Private industries ","Millions of chained 2017 dollars",476636.8,494823.4,512286.0,503945.5,540156.6,551926.2
 "25000","Massachusetts",1,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",839.4,838.5,885.4,830.5,825.3,753.0
 "25000","Massachusetts",1,SAGDP9N,4,"111-112","   Farms ","Millions of chained 2017 dollars",236.2,255.9,307.1,257.1,208.5,201.4
 "25000","Massachusetts",1,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2017 dollars",603.2,583.1,581.7,573.3,618.5,549.1
 "25000","Massachusetts",1,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",193.8,176.2,225.5,173.4,119.4,94.0
 "25000","Massachusetts",1,SAGDP9N,7,"211","   Oil and gas extraction ","Millions of chained 2017 dollars",1.4,0.9,4.2,2.4,1.6,0.8
 "25000","Massachusetts",1,SAGDP9N,8,"212","   Mining (except oil and gas) ","Millions of chained 2017 dollars",175.8,159.8,195.5,153.5,106.5,83.9
 "25000","Massachusetts",1,SAGDP9N,9,"213","   Support activities for mining ","Millions of chained 2017 dollars",16.7,15.6,26.5,17.3,10.9,9.4
 "25000","Massachusetts",1,SAGDP9N,10,"22","  Utilities ","Millions of chained 2017 dollars",6945.9,7287.2,7672.3,9455.1,9707.1,11261.5
 "25000","Massachusetts",1,SAGDP9N,11,"23","  Construction ","Millions of chained 2017 dollars",20871.0,21578.9,22123.5,20824.3,21919.9,19968.6
 "25000","Massachusetts",1,SAGDP9N,12,"31-33","  Manufacturing ","Millions of chained 2017 dollars",46542.2,49455.4,48971.7,48479.1,51005.8,50102.0
 "25000","Massachusetts",1,SAGDP9N,13,"321,327-339","   Durable goods manufacturing ","Millions of chained 2017 dollars",29281.1,30206.0,29668.3,28077.4,29498.7,28723.5
 "25000","Massachusetts",1,SAGDP9N,14,"321","    Wood product manufacturing ","Millions of chained 2017 dollars",206.7,169.1,209.4,194.7,135.1,131.2
 "25000","Massachusetts",1,SAGDP9N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of chained 2017 dollars",781.0,781.9,789.4,889.6,789.4,743.1
 "25000","Massachusetts",1,SAGDP9N,16,"331","    Primary metal manufacturing ","Millions of chained 2017 dollars",409.8,349.6,454.6,549.7,453.3,429.1
 "25000","Massachusetts",1,SAGDP9N,17,"332","    Fabricated metal product manufacturing ","Millions of chained 2017 dollars",4622.2,4080.0,3969.2,3784.9,3910.7,3262.3
 "25000","Massachusetts",1,SAGDP9N,18,"333","    Machinery manufacturing ","Millions of chained 2017 dollars",2237.5,2589.2,2504.9,2442.2,2789.1,2843.9
 "25000","Massachusetts",1,SAGDP9N,19,"334","    Computer and electronic product manufacturing ","Millions of chained 2017 dollars",13352.8,14694.2,14342.7,13457.0,14112.8,13894.0
 "25000","Massachusetts",1,SAGDP9N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of chained 2017 dollars",1394.1,1410.8,1303.9,1127.5,1270.7,1142.9
 "25000","Massachusetts",1,SAGDP9N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Millions of chained 2017 dollars",236.8,154.0,141.2,92.4,86.9,111.8
 "25000","Massachusetts",1,SAGDP9N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Millions of chained 2017 dollars",1517.2,1561.4,1550.8,1462.5,1687.6,1751.9
 "25000","Massachusetts",1,SAGDP9N,23,"337","    Furniture and related product manufacturing ","Millions of chained 2017 dollars",383.8,341.7,360.8,285.2,286.5,284.9
 "25000","Massachusetts",1,SAGDP9N,24,"339","    Miscellaneous manufacturing ","Millions of chained 2017 dollars",4139.1,4091.7,4051.4,3808.7,4013.0,4272.1
 "25000","Massachusetts",1,SAGDP9N,25,"311-316,322-326","   Nondurable goods manufacturing ","Millions of chained 2017 dollars",17261.1,19240.1,19290.6,20387.1,21489.8,21338.1
 "25000","Massachusetts",1,SAGDP9N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Millions of chained 2017 dollars",2959.5,2991.3,2973.3,2749.6,2921.7,3044.3
 "25000","Massachusetts",1,SAGDP9N,27,"313-314","    Textile mills and textile product mills ","Millions of chained 2017 dollars",407.2,402.7,325.6,292.4,335.3,328.9
 "25000","Massachusetts",1,SAGDP9N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Millions of chained 2017 dollars",389.0,449.8,432.7,463.8,433.8,444.6
 "25000","Massachusetts",1,SAGDP9N,29,"322","    Paper manufacturing ","Millions of chained 2017 dollars",846.8,1099.5,977.3,1082.0,1059.1,976.2
 "25000","Massachusetts",1,SAGDP9N,30,"323","    Printing and related support activities ","Millions of chained 2017 dollars",1270.1,1316.5,1239.8,1232.9,1063.6,967.5
 "25000","Massachusetts",1,SAGDP9N,31,"324","    Petroleum and coal products manufacturing ","Millions of chained 2017 dollars",359.9,215.8,335.2,520.3,338.9,253.4
 "25000","Massachusetts",1,SAGDP9N,32,"325","    Chemical manufacturing ","Millions of chained 2017 dollars",9656.9,11391.3,11627.0,12792.7,14169.1,14352.9
 "25000","Massachusetts",1,SAGDP9N,33,"326","    Plastics and rubber products manufacturing ","Millions of chained 2017 dollars",1371.7,1393.9,1375.5,1293.7,1170.1,1031.0
 "25000","Massachusetts",1,SAGDP9N,34,"42","  Wholesale trade ","Millions of chained 2017 dollars",27287.9,26308.8,25778.9,25930.3,26897.6,25649.1
 "25000","Massachusetts",1,SAGDP9N,35,"44-45","  Retail trade ","Millions of chained 2017 dollars",23467.7,24589.1,25897.2,24230.7,24868.7,23987.3
