GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "91000","New England",1,SAGDP9N,1,"...","All industry total ","Millions of chained 2017 dollars",1039545.4,1062478.0,1084356.2,1055848.3,1116077.9,1140307.6
 "91000","New England",1,SAGDP9N,2,"..."," Private industries ","Millions of chained 2017 dollars",928640.4,951538.5,974253.7,949448.5,1009939.3,1032770.6
 "91000","New England",1,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",2933.0,2847.4,3037.4,2827.5,2685.5,2748.0
 "91000","New England",1,SAGDP9N,4,"111-112","   Farms ","Millions of chained 2017 dollars",1388.1,1400.0,1606.4,1357.2,1205.2,1285.8
 "91000","New England",1,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2017 dollars",1545.0,1448.9,1440.9,1465.3,1478.3,1441.4
 "91000","New England",1,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",716.0,683.7,690.6,752.1,583.0,530.7
 "91000","New England",1,SAGDP9N,7,"211","   Oil and gas extraction ","Millions of chained 2017 dollars",1.4,0.9,4.2,2.4,1.6,0.9
 "91000","New England",1,SAGDP9N,8,"212","   Mining (except oil and gas) ","Millions of chained 2017 dollars",677.2,647.1,640.3,711.1,547.9,496.1
 "91000","New England",1,SAGDP9N,9,"213","   Support activities for mining ","Millions of chained 2017 dollars",37.4,35.7,47.2,37.1,33.6,35.7
 "91000","New England",1,SAGDP9N,10,"22","  Utilities ","Millions of chained 2017 dollars",15106.8,15425.7,15795.9,18202.4,17822.1,18926.6
 "91000","New England",1,SAGDP9N,11,"23","  Construction ","Millions of chained 2017 dollars",36500.8,37345.4,38054.7,35448.7,37594.3,34438.1
 "91000","New England",1,SAGDP9N,12,"31-33","  Manufacturing ","Millions of chained 2017 dollars",96673.9,103235.6,103460.1,101458.4,107207.8,107579.5
