GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
 "34000","New Jersey",2,SAGDP9N,1,"...","All industry total ","Millions of chained 2017 dollars",590086.7,606892.2,617110.7,595973.4,629011.3,646731.3
 "34000","New Jersey",2,SAGDP9N,2,"..."," Private industries ","Millions of chained 2017 dollars",527401.1,543970.7,553849.2,535650.3,569059.7,585785.0
 "34000","New Jersey",2,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",936.9,949.7,1130.1,1064.3,945.9,883.2
 "34000","New Jersey",2,SAGDP9N,4,"111-112","   Farms ","Millions of chained 2017 dollars",622.1,622.6,808.2,744.4,625.6,570.0
 "34000","New Jersey",2,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2017 dollars",314.8,326.9,326.6,322.6,323.7,321.3
 "34000","New Jersey",2,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",359.6,303.2,465.9,428.3,419.2,352.0
 "34000","New Jersey",2,SAGDP9N,7,"211","   Oil and gas extraction ","Millions of chained 2017 dollars",26.5,15.4,67.7,34.5,13.4,7.4
 "34000","New Jersey",2,SAGDP9N,8,"212","   Mining (except oil and gas) ","Millions of chained 2017 dollars",292.5,246.6,339.2,340.6,354.8,299.0
 "34000","New Jersey",2,SAGDP9N,9,"213","   Support activities for mining ","Millions of chained 2017 dollars",40.7,42.3,58.6,42.0,34.0,35.2
 "34000","New Jersey",2,SAGDP9N,10,"22","  Utilities ","Millions of chained 2017 dollars",9501.6,9586.0,9210.8,10358.5,10417.0,8836.3
 "34000","New Jersey",2,SAGDP9N,11,"23","  Construction ","Millions of chained 2017 dollars",21117.5,20977.7,21263.5,20256.7,20905.6,18982.0
 "34000","New Jersey",2,SAGDP9N,12,"31-33","  Manufacturing ","Millions of chained 2017 dollars",46725.3,54211.3,54277.0,52729.4,52782.7,52798.3
 "34000","New Jersey",2,SAGDP9N,13,"321,327-339","   Durable goods manufacturing ","Millions of chained 2017 dollars",16684.4,19451.9,18199.9,16276.1,17523.0,17602.1
 "34000","New Jersey",2,SAGDP9N,14,"321","    Wood product manufacturing ","Millions of chained 2017 dollars",193.1,168.4,196.4,183.5,133.7,130.3
 "34000","New Jersey",2,SAGDP9N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of chained 2017 dollars",1298.8,1533.3,1530.6,1423.3,1597.7,1470.9
 "34000","New Jersey",2,SAGDP9N,16,"331","    Primary metal manufacturing ","Millions of chained 2017 dollars",577.4,554.5,648.4,722.9,534.2,622.5
 "34000","New Jersey",2,SAGDP9N,17,"332","    Fabricated metal product manufacturing ","Millions of chained 2017 dollars",2081.1,2273.7,2415.0,1917.5,2092.0,1945.2
 "34000","New Jersey",2,SAGDP9N,18,"333","    Machinery manufacturing ","Millions of chained 2017 dollars",1865.0,1868.3,1989.1,1711.3,1959.9,2044.7
 "34000","New Jersey",2,SAGDP9N,19,"334","    Computer and electronic product manufacturing ","Millions of chained 2017 dollars",4524.0,4893.6,5131.9,4579.1,5121.4,5152.2
 "34000","New Jersey",2,SAGDP9N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of chained 2017 dollars",968.0,900.4,924.4,915.9,808.3,753.9
 "34000","New Jersey",2,SAGDP9N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Millions of chained 2017 dollars",206.1,214.6,215.5,198.7,189.5,221.5
 "34000","New Jersey",2,SAGDP9N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Millions of chained 2017 dollars",412.7,416.7,401.4,407.3,427.1,550.5
 "34000","New Jersey",2,SAGDP9N,23,"337","    Furniture and related product manufacturing ","Millions of chained 2017 dollars",459.9,521.3,566.3,487.5,546.0,550.4
 "34000","New Jersey",2,SAGDP9N,24,"339","    Miscellaneous manufacturing ","Millions of chained 2017 dollars",4098.3,6119.2,4188.4,3761.4,4162.1,4257.2
 "34000","New Jersey",2,SAGDP9N,25,"311-316,322-326","   Nondurable goods manufacturing ","Millions of chained 2017 dollars",30040.9,34758.3,36051.3,36503.9,35304.1,35250.2
 "34000","New Jersey",2,SAGDP9N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Millions of chained 2017 dollars",4662.3,4644.6,4466.7,4404.4,4653.4,5022.9
 "34000","New Jersey",2,SAGDP9N,27,"313-314","    Textile mills and textile product mills ","Millions of chained 2017 dollars",307.4,267.9,324.4,276.9,275.9,278.6
 "34000","New Jersey",2,SAGDP9N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Millions of chained 2017 dollars",297.2,263.0,223.7,189.0,206.1,219.9
 "34000","New Jersey",2,SAGDP9N,29,"322","    Paper manufacturing ","Millions of chained 2017 dollars",1220.5,1340.7,1280.1,1340.9,1344.6,1265.4
 "34000","New Jersey",2,SAGDP9N,30,"323","    Printing and related support activities ","Millions of chained 2017 dollars",1487.3,1643.8,1614.2,1395.4,1527.7,1496.6
 "34000","New Jersey",2,SAGDP9N,31,"324","    Petroleum and coal products manufacturing ","Millions of chained 2017 dollars",2328.9,4797.2,6227.0,3860.0,2637.8,1628.6
 "34000","New Jersey",2,SAGDP9N,32,"325","    Chemical manufacturing ","Millions of chained 2017 dollars",18217.2,19886.0,19665.0,22531.8,22132.5,23554.6
 "34000","New Jersey",2,SAGDP9N,33,"326","    Plastics and rubber products manufacturing ","Millions of chained 2017 dollars",1520.0,1586.3,1675.2,1602.6,1546.2,1397.9
 "34000","New Jersey",2,SAGDP9N,34,"42","  Wholesale trade ","Millions of chained 2017 dollars",48460.2,49372.4,50900.1,49950.2,49456.5,47824.4
 "34000","New Jersey",2,SAGDP9N,35,"44-45","  Retail trade ","Millions of chained 2017 dollars",37506.9,38482.5,39604.3,37756.3,38039.5,34405.5
 "34000","New Jersey",2,SAGDP9N,36,"48-49","  Transportation and warehousing ","Millions of chained 2017 dollars",22681.5,23273.2,23457.7,19643.9,23258.2,25001.3
 "34000","New Jersey",2,SAGDP9N,37,"481","   Air transportation ","Millions of chained 2017 dollars",5556.2,5669.2,5645.9,2021.2,4492.8,6709.4
